step,time,dt,area_heaviside,area_sharp,area_loss_pct,interface_error,grad_err_max_band,grad_err_mean_band,sign_guard_hits
0,0,0,0.0710875,0.070625,0.0860635,9.76563e-05,0.00414052,0.00136851,0
20,0.0390625,0.00195312,0.0710007,0.070498,0.265665,0.0200635,0.0160311,0.00253955,0
40,0.078125,0.00195312,0.070932,0.0704053,0.396913,0.0399219,0.021512,0.00282904,0
60,0.117188,0.00195312,0.0708492,0.0703198,0.517799,0.0594897,0.0285568,0.00310196,0
80,0.15625,0.00195312,0.0707596,0.0702417,0.628323,0.0784497,0.0464596,0.00360941,0
100,0.195312,0.00195312,0.0706466,0.0701196,0.801017,0.0965015,0.0503784,0.00370333,0
120,0.234375,0.00195312,0.0705114,0.0699854,0.990981,0.113042,0.0806628,0.00397042,0
140,0.273438,0.00195312,0.0703919,0.0698779,1.14295,0.127227,0.120172,0.00440482,0
160,0.3125,0.00195312,0.0702883,0.0697705,1.29492,0.137485,0.219317,0.00571409,0
180,0.351562,0.00195312,0.0701339,0.0695947,1.5436,0.140317,0.31954,0.00701736,0
200,0.390625,0.00195312,0.0699332,0.0694043,1.81301,0.140127,0.313977,0.00598706,0
220,0.429688,0.00195312,0.0697888,0.0692773,1.99261,0.14,0.55847,0.00921839,0
240,0.46875,0.00195312,0.0695403,0.0690356,2.33454,0.139758,0.619707,0.0108036,0
260,0.507812,0.00195312,0.0693321,0.0687671,2.71447,0.13949,0.670971,0.0163633,0
280,0.546875,0.00195312,0.0690956,0.0686035,2.94588,0.139326,0.876494,0.0236604,0
300,0.585938,0.00195312,0.0688335,0.0683594,3.29127,0.139082,0.898712,0.0395423,0
320,0.625,0.00195312,0.0686161,0.0681104,3.64356,0.138833,0.954666,0.0351455,0
340,0.664062,0.00195312,0.0685662,0.0680688,3.70228,0.138792,0.889667,0.0428625,0
360,0.703125,0.00195312,0.0685512,0.0679907,3.8128,0.138713,0.962145,0.044156,0
380,0.742188,0.00195312,0.0684117,0.0678979,3.94405,0.138621,0.941378,0.0477147,0
400,0.78125,0.00195312,0.0683764,0.0678125,4.06494,0.138535,0.948632,0.0483878,0
420,0.820312,0.00195312,0.0683835,0.0678491,4.01313,0.138572,0.954639,0.0496706,0
440,0.859375,0.00195312,0.0680698,0.0675562,4.42759,0.138279,0.954878,0.0514363,0
460,0.898438,0.00195312,0.0680697,0.0674951,4.51394,0.138218,0.972942,0.0681816,0
480,0.9375,0.00195312,0.0678447,0.0672241,4.89732,0.137947,0.972899,0.0622667,0
500,0.976562,0.00195312,0.0674813,0.0668921,5.36705,0.137615,0.96003,0.0747844,0
520,1.01562,0.00195312,0.0672618,0.0666919,5.65027,0.137415,0.984473,0.0776159,0
540,1.05469,0.00195312,0.0670698,0.0664575,5.98184,0.13718,0.974025,0.0776256,0
560,1.09375,0.00195312,0.066949,0.0663037,6.19944,0.137026,0.961309,0.0811039,0
580,1.13281,0.00195312,0.0669887,0.0663672,6.10964,0.13709,0.940617,0.0820303,0
600,1.17188,0.00195312,0.0667972,0.0661816,6.37213,0.135986,0.990536,0.0858402,0
620,1.21094,0.00195312,0.0666489,0.0660425,6.569,0.134065,0.986732,0.094956,0
640,1.25,0.00195312,0.0665034,0.0659033,6.76587,0.131855,0.933054,0.0911741,0
660,1.28906,0.00195312,0.0666105,0.0660254,6.59318,0.129468,0.961908,0.0995079,0
680,1.32812,0.00195312,0.0665794,0.0659668,6.67607,0.127026,0.965777,0.100286,0
700,1.36719,0.00195312,0.06644,0.0658252,6.8764,0.12436,0.989659,0.102991,0
720,1.40625,0.00195312,0.0663781,0.0657837,6.93511,0.122068,0.989733,0.104969,0
740,1.44531,0.00195312,0.066445,0.0658447,6.84877,0.12002,0.978164,0.105393,0
760,1.48438,0.00195312,0.0665875,0.0659937,6.63808,0.118181,0.969236,0.106487,0
780,1.52344,0.00195312,0.066596,0.0659326,6.72443,0.116494,0.982389,0.109229,0
800,1.5625,0.00195312,0.0665324,0.0658765,6.80387,0.114968,0.981275,0.111752,0
820,1.60156,0.00195312,0.0665743,0.0659766,6.66226,0.113789,0.971451,0.111076,0
840,1.64062,0.00195312,0.0667531,0.0661743,6.38249,0.113005,0.978786,0.112926,0
860,1.67969,0.00195312,0.0666919,0.0661108,6.47229,0.112263,0.988359,0.112653,0
880,1.71875,0.00195312,0.0668052,0.0661816,6.37213,0.111748,0.959477,0.113453,0
900,1.75781,0.00195312,0.0668079,0.0662622,6.25815,0.111458,0.976479,0.113747,0
920,1.79688,0.00195312,0.0667676,0.0661304,6.44466,0.111057,0.994148,0.114131,0
940,1.83594,0.00195312,0.0667026,0.0660693,6.53101,0.110859,0.953247,0.113892,0
960,1.875,0.00195312,0.0666155,0.0660205,6.60009,0.11062,0.991104,0.114277,0
980,1.91406,0.00195312,0.0665814,0.0659644,6.67953,0.110496,0.979327,0.114434,0
1000,1.95312,0.00195312,0.0665012,0.0659106,6.75551,0.110388,0.993013,0.115014,0
1020,1.99219,0.00195312,0.0664773,0.0659229,6.73824,0.110381,0.993989,0.114993,0
1040,2.03125,0.00195312,0.0664691,0.0658984,6.77278,0.110381,0.992166,0.114888,0
1060,2.07031,0.00195312,0.0665069,0.0658984,6.77278,0.110464,0.992096,0.114438,0
1080,2.10938,0.00195312,0.066593,0.0660181,6.60354,0.110657,0.986236,0.11389,0
1100,2.14844,0.00195312,0.0667392,0.0661914,6.35832,0.110972,0.995872,0.113137,0
1120,2.1875,0.00195312,0.0667433,0.0661841,6.36868,0.11115,0.992116,0.113216,0
1140,2.22656,0.00195312,0.0667402,0.0661694,6.3894,0.111462,0.992203,0.113051,0
