step,time,dt,area_heaviside,area_sharp,area_loss_pct,interface_error,grad_err_max_band,grad_err_mean_band,sign_guard_hits
0,0,0,0.0710875,0.070625,0.0860635,9.76563e-05,0.00414052,0.00136851,0
20,0.0390625,0.00195312,0.0710803,0.0705786,0.151687,0.0200659,0.0420838,0.00912252,0
40,0.078125,0.00195312,0.0710772,0.0705322,0.217311,0.0399072,0.0479247,0.00980242,0
60,0.117188,0.00195312,0.071073,0.0705591,0.179318,0.0595093,0.0520343,0.00991956,0
80,0.15625,0.00195312,0.0710692,0.0705542,0.186226,0.0784546,0.058308,0.0101179,0
100,0.195312,0.00195312,0.0710648,0.0705371,0.210403,0.0965479,0.0656408,0.0102096,0
120,0.234375,0.00195312,0.0710601,0.07052,0.23458,0.113215,0.10019,0.0104214,0
140,0.273438,0.00195312,0.0710578,0.070564,0.172411,0.12759,0.184499,0.0111055,0
160,0.3125,0.00195312,0.0710565,0.07052,0.23458,0.13804,0.307909,0.0126919,0
180,0.351562,0.00195312,0.071059,0.0705127,0.244942,0.141235,0.293072,0.0131616,0
200,0.390625,0.00195312,0.071053,0.0705542,0.186226,0.141277,0.38091,0.0133086,0
220,0.429688,0.00195312,0.0710409,0.0705469,0.196588,0.14127,0.401099,0.0146469,0
240,0.46875,0.00195312,0.071021,0.070498,0.265665,0.141221,0.682922,0.0174183,0
260,0.507812,0.00195312,0.0710017,0.0704907,0.276027,0.141213,0.669365,0.0209569,0
280,0.546875,0.00195312,0.0710223,0.0704858,0.282935,0.141208,0.811795,0.0297574,0
300,0.585938,0.00195312,0.0710893,0.0705664,0.168957,0.141289,0.909139,0.0462435,0
320,0.625,0.00195312,0.0712082,0.0707104,-0.0348224,0.141433,0.935693,0.0417829,0
340,0.664062,0.00195312,0.0713288,0.0708545,-0.238602,0.141577,0.896404,0.0486129,0
360,0.703125,0.00195312,0.0715256,0.0709961,-0.438927,0.141719,0.947351,0.0524917,0
380,0.742188,0.00195312,0.0716142,0.0710303,-0.487281,0.141753,0.957135,0.0560053,0
400,0.78125,0.00195312,0.0717485,0.0711938,-0.718691,0.141917,0.913444,0.0555351,0
420,0.820312,0.00195312,0.0718947,0.0712695,-0.825762,0.141992,0.956138,0.055762,0
440,0.859375,0.00195312,0.0719078,0.0713477,-0.936286,0.14207,0.971022,0.0577509,0
460,0.898438,0.00195312,0.0720026,0.0713257,-0.905201,0.142048,0.921763,0.0723903,0
480,0.9375,0.00195312,0.0721594,0.0714966,-1.14697,0.142219,0.994036,0.068722,0
500,0.976562,0.00195312,0.0723207,0.0715063,-1.16079,0.142229,0.964348,0.0813312,0
520,1.01562,0.00195312,0.0724877,0.0717139,-1.45437,0.142437,0.943617,0.0859012,0
540,1.05469,0.00195312,0.0726516,0.0719287,-1.75831,0.142651,0.977558,0.0859114,0
560,1.09375,0.00195312,0.0728988,0.0721606,-2.08643,0.142341,0.979879,0.089344,0
580,1.13281,0.00195312,0.0731547,0.0723193,-2.31093,0.140703,0.970146,0.0896583,0
600,1.17188,0.00195312,0.0734691,0.0725342,-2.61487,0.138594,0.983785,0.0993144,0
620,1.21094,0.00195312,0.0737394,0.0728467,-3.05697,0.13623,0.957806,0.0958243,0
640,1.25,0.00195312,0.0740714,0.073208,-3.56815,0.133652,0.958688,0.10163,0
660,1.28906,0.00195312,0.074418,0.0735596,-4.0655,0.130986,0.939794,0.101751,0
680,1.32812,0.00195312,0.0748141,0.0739771,-4.65612,0.128533,0.988524,0.110923,0
700,1.36719,0.00195312,0.07518,0.0742432,-5.03259,0.126372,0.989575,0.113235,0
720,1.40625,0.00195312,0.0754819,0.0745679,-5.49196,0.124768,0.986805,0.1072,0
740,1.44531,0.00195312,0.075824,0.0749438,-6.02386,0.123606,0.993176,0.111316,0
760,1.48438,0.00195312,0.0762508,0.0753687,-6.62483,0.122747,0.968235,0.113693,0
780,1.52344,0.00195312,0.0766647,0.0757593,-7.17745,0.122102,0.979237,0.114798,0
800,1.5625,0.00195312,0.0770269,0.0760645,-7.60919,0.121582,0.977885,0.111529,0
820,1.60156,0.00195312,0.0773571,0.0764062,-8.09273,0.121235,0.989336,0.112376,0
840,1.64062,0.00195312,0.0776498,0.0767163,-8.53138,0.120964,0.98042,0.117658,0
860,1.67969,0.00195312,0.0779668,0.0769751,-8.89749,0.120774,0.981125,0.113776,0
880,1.71875,0.00195312,0.0782643,0.077334,-9.40521,0.120698,0.971171,0.116868,0
900,1.75781,0.00195312,0.0785289,0.0775391,-9.69533,0.120566,0.981892,0.116737,0
920,1.79688,0.00195312,0.0787372,0.0777539,-9.99928,0.120537,0.981147,0.111576,0
940,1.83594,0.00195312,0.0789024,0.0779688,-10.3032,0.120605,0.994798,0.113737,0
960,1.875,0.00195312,0.0790402,0.0780908,-10.4759,0.120503,0.969198,0.114305,0
980,1.91406,0.00195312,0.0791466,0.0782373,-10.6831,0.120566,0.981807,0.115196,0
1000,1.95312,0.00195312,0.0792124,0.0782471,-10.697,0.120493,0.990366,0.116051,0
1020,1.99219,0.00195312,0.0792382,0.0782129,-10.6486,0.120454,0.994068,0.115723,0
1040,2.03125,0.00195312,0.0792512,0.0782764,-10.7384,0.120488,0.991844,0.115536,0
1060,2.07031,0.00195312,0.0793103,0.078374,-10.8766,0.120698,0.97976,0.114456,0
1080,2.10938,0.00195312,0.079412,0.0784888,-11.0389,0.120906,0.989658,0.113345,0
1100,2.14844,0.00195312,0.0795473,0.0785962,-11.1909,0.121077,0.993133,0.113342,0
1120,2.1875,0.00195312,0.079714,0.0787891,-11.4637,0.121426,0.989745,0.110566,0
1140,2.22656,0.00195312,0.0799157,0.0789551,-11.6986,0.121802,0.974643,0.113707,0
1160,2.26562,0.00195312,0.0801713,0.0792505,-12.1165,0.122366,0.993393,0.11396,0
1180,2.30469,0.00195312,0.080473,0.0795239,-12.5033,0.122932,0.984099,0.111267,0
1200,2.34375,0.00195312,0.0807944,0.0799268,-13.0732,0.123691,0.989069,0.114523,0
1220,2.38281,0.00195312,0.0810686,0.0801392,-13.3737,0.124426,0.989762,0.109728,0
1240,2.42188,0.00195312,0.0813071,0.0803906,-13.7295,0.125288,0.971592,0.104493,0
1260,2.46094,0.00195312,0.0815412,0.0806787,-14.137,0.126294,0.98561,0.105652,0
1280,2.5,0.00195312,0.0817957,0.0809155,-14.4721,0.127346,0.956228,0.106359,0
1300,2.53906,0.00195312,0.0820798,0.0811328,-14.7795,0.128589,0.962995,0.102066,0
1320,2.57812,0.00195312,0.0823485,0.0814453,-15.2215,0.130151,0.975009,0.097299,0
1340,2.61719,0.00195312,0.0825585,0.0816943,-15.5738,0.132061,0.967363,0.0943491,0
1360,2.65625,0.00195312,0.0827418,0.0818335,-15.7707,0.134451,0.975044,0.0973056,0
1380,2.69531,0.00195312,0.0828978,0.0820459,-16.0712,0.137617,0.984162,0.08764,0
1400,2.73438,0.00195312,0.0830275,0.0821582,-16.2301,0.140889,0.966492,0.0827463,0
1420,2.77344,0.00195312,0.0831608,0.0823267,-16.4684,0.14406,0.966052,0.0824598,0
1440,2.8125,0.00195312,0.0832629,0.082522,-16.7447,0.14699,0.948481,0.0793396,0
1460,2.85156,0.00195312,0.0832749,0.0825293,-16.7551,0.149526,0.934517,0.0695293,0
1480,2.89062,0.00195312,0.083257,0.0826709,-16.9554,0.151729,0.942449,0.0679565,0
1500,2.92969,0.00195312,0.0832648,0.0825928,-16.8449,0.15314,0.907051,0.0621197,0
1520,2.96875,0.00195312,0.0832347,0.0826392,-16.9105,0.153362,0.919029,0.0521924,0
1540,3.00781,0.00195312,0.0832591,0.0826196,-16.8829,0.153342,0.927054,0.057308,0
1560,3.04688,0.00195312,0.0832279,0.0826489,-16.9243,0.153372,0.859764,0.0472746,0
1580,3.08594,0.00195312,0.083211,0.0826807,-16.9692,0.153403,0.846862,0.0450125,0
1600,3.125,0.00195312,0.0832983,0.0827222,-17.0279,0.153445,0.884113,0.0420251,0
1620,3.16406,0.00195312,0.0832917,0.0827588,-17.0797,0.153481,0.880315,0.0362409,0
1640,3.20312,0.00195312,0.0833528,0.0828345,-17.1868,0.153557,0.91309,0.0420079,0
1660,3.24219,0.00195312,0.0833921,0.0828687,-17.2352,0.153591,0.766633,0.0263973,0
1680,3.28125,0.00195312,0.0834029,0.0828979,-17.2766,0.153621,0.870635,0.0259685,0
1700,3.32031,0.00195312,0.0834145,0.0828516,-17.211,0.153574,0.702528,0.0202481,0
1720,3.35938,0.00195312,0.0833863,0.0828687,-17.2352,0.153591,0.527596,0.018512,0
1740,3.39844,0.00195312,0.0833612,0.0828589,-17.2213,0.153582,0.365592,0.0138228,0
1760,3.4375,0.00195312,0.0833202,0.082854,-17.2144,0.153577,0.316192,0.015143,0
1780,3.47656,0.00195312,0.0833128,0.0827759,-17.1039,0.153499,0.446011,0.0158908,0
1800,3.51562,0.00195312,0.0832989,0.0828174,-17.1626,0.15354,0.417034,0.0162516,0
1820,3.55469,0.00195312,0.0833026,0.0827856,-17.1177,0.153508,0.413981,0.0156775,0
