step,time,dt,area_heaviside,area_sharp,area_loss_pct,interface_error,grad_err_max_band,grad_err_mean_band,sign_guard_hits
0,0,0,0.0710875,0.070625,0.0860635,9.76563e-05,0.00414052,0.00136851,0
20,0.0390625,0.00195312,0.0710796,0.0705811,0.148233,0.0200684,0.040799,0.00837579,0
40,0.078125,0.00195312,0.0710756,0.0705273,0.224219,0.0399072,0.0462584,0.00891861,0
60,0.117188,0.00195312,0.0710706,0.0705566,0.182772,0.0595068,0.0504682,0.00897349,0
80,0.15625,0.00195312,0.0710658,0.0705469,0.196588,0.078457,0.0565022,0.0091614,0
100,0.195312,0.00195312,0.0710607,0.070542,0.203496,0.0965479,0.065609,0.00925474,0
120,0.234375,0.00195312,0.0710554,0.0705103,0.248396,0.11321,0.100154,0.00943511,0
140,0.273438,0.00195312,0.0710528,0.0705542,0.186226,0.127576,0.184352,0.0101318,0
160,0.3125,0.00195312,0.0710512,0.0705103,0.248396,0.13803,0.306924,0.0117355,0
180,0.351562,0.00195312,0.0710528,0.070498,0.265665,0.141221,0.294084,0.01224,0
200,0.390625,0.00195312,0.0710466,0.070542,0.203496,0.141265,0.380783,0.0124214,0
220,0.429688,0.00195312,0.0710338,0.070542,0.203496,0.141265,0.403522,0.0137755,0
240,0.46875,0.00195312,0.0710116,0.0704883,0.279481,0.141211,0.682898,0.0164841,0
260,0.507812,0.00195312,0.0709917,0.0704712,0.303658,0.141194,0.67071,0.0201398,0
280,0.546875,0.00195312,0.0710086,0.0704614,0.317474,0.141184,0.81579,0.0289058,0
300,0.585938,0.00195312,0.0710758,0.0705444,0.200042,0.141267,0.905801,0.0453859,0
320,0.625,0.00195312,0.0711922,0.0706909,-0.00719135,0.141414,0.927762,0.0409332,0
340,0.664062,0.00195312,0.0713143,0.0708447,-0.224786,0.141567,0.897819,0.0479199,0
360,0.703125,0.00195312,0.0715123,0.0709839,-0.421657,0.141707,0.948146,0.0516903,0
380,0.742188,0.00195312,0.0715983,0.0709985,-0.442381,0.141721,0.959235,0.0553122,0
400,0.78125,0.00195312,0.0717326,0.0711743,-0.69106,0.141897,0.913141,0.0548617,0
420,0.820312,0.00195312,0.0718753,0.07125,-0.798131,0.141973,0.955973,0.0552082,0
440,0.859375,0.00195312,0.0718859,0.0713281,-0.908655,0.142051,0.970648,0.0572281,0
460,0.898438,0.00195312,0.0719776,0.0712793,-0.839577,0.142002,0.922682,0.0735934,0
480,0.9375,0.00195312,0.0721306,0.0714429,-1.07099,0.142166,0.994172,0.0683777,0
500,0.976562,0.00195312,0.072285,0.0714502,-1.08135,0.142173,0.964232,0.0810674,0
520,1.01562,0.00195312,0.0724502,0.0716724,-1.39565,0.142395,0.941945,0.0853382,0
540,1.05469,0.00195312,0.072613,0.0718945,-1.70996,0.142617,0.979687,0.0853461,0
560,1.09375,0.00195312,0.0728569,0.0721167,-2.02426,0.142297,0.980054,0.0887029,0
580,1.13281,0.00195312,0.07311,0.072229,-2.18314,0.140627,0.970146,0.0890461,0
600,1.17188,0.00195312,0.0734206,0.0724731,-2.52853,0.138533,0.975237,0.0988404,0
620,1.21094,0.00195312,0.073689,0.0728198,-3.01898,0.136208,0.952433,0.0951838,0
640,1.25,0.00195312,0.0740184,0.0731641,-3.50598,0.133633,0.958369,0.100978,0
660,1.28906,0.00195312,0.0743646,0.0735156,-4.00333,0.130947,0.94233,0.102198,0
680,1.32812,0.00195312,0.0747586,0.0739355,-4.5974,0.128501,0.987478,0.110246,0
700,1.36719,0.00195312,0.0751216,0.0742139,-4.99114,0.126353,0.98915,0.11259,0
720,1.40625,0.00195312,0.0754238,0.0745117,-5.41252,0.124712,0.987351,0.107354,0
