step,time,dt,kinetic_energy,max_div_mac,max_div_nodal,area_pos,interface_ymin,interface_ymax,mac_iters,visc_iters,nodal_iters,umax
0,0,0,0,1.02613e-11,0,2,1.90012,2.09988,562,5,57,0
50,0.05,0.001,0.00323129,7.59587e-11,0.0177346,1.99998,1.89687,2.10314,550,4,348,0.138162
100,0.1,0.001,0.0134731,1.111e-10,0.019357,1.99995,1.88711,2.11273,552,3,356,0.273403
150,0.15,0.001,0.0328135,1.69685e-10,0.0193337,1.99992,1.87058,2.12829,552,3,360,0.408504
200,0.2,0.001,0.0651174,1.49125e-10,0.0288131,1.99988,1.84703,2.14917,557,3,361,0.559878
250,0.25,0.001,0.116182,3.9417e-10,0.0399518,1.99986,1.81639,2.17439,555,3,365,0.71575
300,0.3,0.001,0.193714,2.93384e-10,0.0468371,1.99986,1.77901,2.20286,550,3,367,0.86973
350,0.35,0.001,0.306879,3.4798e-10,0.0594231,1.99989,1.73562,2.23335,545,3,368,1.04122
400,0.4,0.001,0.465332,4.85704e-10,0.0932962,1.99994,1.68737,2.26478,541,3,367,1.25056
450,0.45,0.001,0.677811,5.69342e-10,0.130797,2,1.63538,2.29633,537,4,369,1.492
500,0.5,0.001,0.950299,6.43597e-10,0.169048,2.00002,1.58073,2.32743,532,4,371,1.77183
550,0.55,0.001,1.28315,8.96337e-10,0.151529,2.00001,1.52462,2.35778,536,4,371,2.08341
600,0.6,0.001,1.66816,9.80975e-10,0.262115,2.00011,1.46811,2.38727,537,4,363,2.62484
650,0.65,0.001,2.0896,1.09695e-09,0.481197,2.00041,1.41238,2.41596,541,4,365,3.0794
700,0.7,0.001,2.53368,1.56678e-09,0.374013,2.00117,1.35822,2.44398,547,4,367,3.47165
750,0.75,0.001,2.99137,1.4558e-09,0.3259,2.00215,1.30571,2.47144,540,4,367,3.95464
800,0.8,0.001,3.4552,1.64275e-09,0.282922,2.00291,1.25458,2.49837,545,4,368,4.36836
850,0.85,0.001,3.91014,1.41545e-09,0.356214,2.0013,1.20442,2.5248,548,4,374,4.66746
900,0.9,0.001,4.36814,1.82443e-09,0.333875,1.99984,1.15478,2.55071,555,4,375,4.88665
950,0.95,0.001,4.83074,1.55166e-09,0.206983,1.99825,1.10509,2.57618,554,4,378,5.02191
1000,1,0.001,5.30249,1.35694e-09,0.252248,1.99586,1.05479,2.60116,545,4,376,5.08005
1050,1.05,0.001,5.79049,1.96479e-09,0.244889,1.99412,1.00314,2.62578,559,4,379,5.05558
1100,1.1,0.001,6.29532,1.79691e-09,0.243543,1.99389,0.949476,2.65021,560,4,386,5.38813
1150,1.15,0.001,6.82385,1.82065e-09,0.299511,1.99459,0.893133,2.67459,564,4,385,6.32126
1200,1.2,0.001,7.3844,2.8317e-09,0.778869,1.99622,0.833672,2.69916,570,4,398,7.90924
1250,1.25,0.001,7.94774,2.32954e-09,0.751653,1.99761,0.7706,2.72391,564,4,389,6.24961
1300,1.3,0.001,8.55079,2.05326e-09,0.568309,1.99916,0.703345,2.75187,567,4,386,4.77751
1350,1.35,0.001,9.21945,2.77138e-09,0.739776,2.00177,0.631348,2.79487,563,4,388,5.2952
1400,1.4,0.001,9.94061,2.65578e-09,0.518579,1.99759,0.554138,2.84982,567,4,391,5.99875
1450,1.45,0.001,10.7784,2.19835e-09,0.580564,1.99409,0.471182,2.89841,559,4,390,6.18598
1500,1.5,0.001,11.7451,2.19254e-09,0.585671,1.9929,0.382035,2.9434,565,4,394,5.24775
1550,1.55,0.001,12.8536,2.17941e-09,0.363798,1.99124,0.286433,2.98899,556,4,394,5.23228
1600,1.6,0.001,14.1255,2.3127e-09,0.377132,1.98803,0.185494,3.03581,566,4,397,5.27781
1650,1.65,0.001,15.5564,2.1654e-09,0.962302,1.9846,0.0843149,3.07797,569,4,390,5.71713
1700,1.7,0.001,17.1293,2.73535e-09,0.815235,1.9819,0.0135883,3.11606,557,4,394,6.13833
1750,1.75,0.001,18.7474,3.01141e-09,0.632584,1.97362,0.00782686,3.15296,568,4,391,5.84017
1800,1.8,0.001,20.4121,3.50368e-09,1.68857,1.96038,0.0149478,3.19373,570,4,398,11.3016
1850,1.85,0.001,21.8613,4.65227e-09,1.9549,1.94667,0.0379502,3.23392,555,4,391,9.15289
1900,1.9,0.001,23.1034,3.87577e-09,0.950016,1.93689,0.0448856,3.27237,565,4,397,8.23601
1950,1.95,0.001,24.2349,4.95307e-09,1.33831,1.93611,0.0510146,3.30889,551,4,385,7.42743
2000,2,0.001,25.1968,4.765e-09,0.858358,1.93917,0.0641747,3.34383,563,4,393,6.66734
2050,2.05,0.001,25.8346,5.26926e-09,1.2266,1.93293,0.0480189,3.37737,560,4,391,6.19849
2100,2.1,0.001,26.2455,5.1848e-09,1.08287,1.91836,0.0414894,3.40996,566,4,393,5.62002
2150,2.15,0.001,26.6091,5.39966e-09,1.19687,1.91226,0.0380527,3.4421,577,4,398,5.62624
2200,2.2,0.001,26.9232,5.24549e-09,1.32572,1.90547,0.0372409,3.47439,577,4,406,5.64405
