step,time,dt,area_heaviside,area_sharp,area_loss_pct,interface_error,grad_err_max_band,grad_err_mean_band,sign_guard_hits
0,0,0,0.0710875,0.070625,0.0860635,9.76563e-05,0.00414052,0.00136851,0
20,0.156624,0.00784001,0.0704438,0.0699048,1.10496,0.0786011,0.132898,0.0208752,0
40,0.31383,0.00788347,0.0697548,0.0692212,2.07205,0.137673,0.223743,0.0233829,0
60,0.472233,0.00795854,0.0689001,0.0683179,3.34998,0.139041,0.650344,0.0318527,0
80,0.632493,0.00806798,0.0677147,0.067041,5.15636,0.137764,0.87337,0.0594527,0
100,0.795338,0.00821602,0.0660451,0.064978,8.0749,0.135701,0.934426,0.0698464,0
120,0.961603,0.00840889,0.0643079,0.0631665,10.6377,0.133889,0.96434,0.0952171,0
140,1.13227,0.00865566,0.0606977,0.0590039,16.5265,0.119517,0.928303,0.125366,0
160,1.30856,0.00896958,0.0546633,0.0500977,29.1263,0.0941016,0.939035,0.16106,0
180,1.49199,0.0093705,0.0467625,0.042561,39.7885,0.0848267,0.988324,0.197044,0
200,1.68462,0.00988934,0.0368873,0.0311182,55.9768,0.079873,0.979165,0.219073,0
220,1.88929,0.0105769,0.0255448,0.0189478,73.1944,0.0844556,0.993581,0.260715,1
240,2.11023,0.0115237,0.0151678,0.00888672,87.4279,0.0796094,0.993515,0.281333,0
260,2.35429,0.0129099,0.00702227,0.000288086,99.5924,0.0710107,0.983339,0.310228,0
280,2.63407,0.0151634,0.00244377,0,100,0.0707227,0.946893,0.322343,0
300,2.9785,0.0196859,0.000246079,0,100,0.0707227,0.885199,0.334674,0
320,3.50323,0.0375736,0,0,100,0.0707227,0,0,0
340,4.8398,0.0248792,0,0,100,0.0707227,0,0,0
360,5.23834,0.0169608,0,0,100,0.0707227,0,0,0
380,5.54154,0.0138629,0,0,100,0.0707227,0,0,0
400,5.79915,0.0121237,0,0,100,0.0707227,0,0,0
420,6.02902,0.010991,0,0,100,0.0707227,0,0,0
440,6.24002,0.0101915,0,0,100,0.0707227,0,0,0
460,6.43735,0.00959883,0,0,100,0.0707227,0,0,0
480,6.62438,0.00914594,0,0,100,0.0707227,0,0,0
500,6.80345,0.00879346,0,0,100,0.0707227,0,0,0
520,6.9763,0.00851679,0,0,100,0.0707227,0,0,0
540,7.14427,0.00829983,0,0,100,0.0707227,0,0,0
560,7.30843,0.00813168,0,0,100,0.0707227,0,0,0
580,7.46967,0.00800485,0,0,100,0.0707227,0,0,0
600,7.62876,0.0079142,0,0,100,0.0707227,0,0,0
620,7.78638,0.00785633,0,0,100,0.0707227,0,0,0
640,7.94317,0.00782916,0,0,100,0.0707227,0,0,0
648,8,0.00203551,0,0,100,0.0707227,0,0,0
