step,time,dt,area_heaviside,area_sharp,area_loss_pct,interface_error,grad_err_max_band,grad_err_mean_band,sign_guard_hits
0,0,0,0.070711,0.0706812,0.00662419,1.34277e-05,0.000184587,8.51469e-05,0
20,0.0390683,0.00195355,0.0706782,0.0706441,0.05908,0.0200932,0.0281139,0.00528111,0
40,0.0781456,0.00195422,0.0706381,0.0706056,0.113479,0.040049,0.0319087,0.00526498,0
60,0.117241,0.00195535,0.0705979,0.0705685,0.165935,0.0596948,0.0353113,0.00520487,0
80,0.156364,0.00195694,0.0705604,0.0705261,0.225946,0.0788098,0.0367925,0.00504792,0
100,0.195524,0.001959,0.070528,0.0704959,0.268688,0.0970679,0.0374038,0.00501577,0
120,0.23473,0.00196153,0.0705007,0.0704681,0.307976,0.113911,0.0374137,0.00507287,0
140,0.273991,0.00196454,0.0704753,0.0704387,0.349638,0.128352,0.0376893,0.0051591,0
160,0.313318,0.00196804,0.0704505,0.0704134,0.385472,0.13868,0.0377736,0.00527529,0
180,0.35272,0.00197202,0.0704263,0.0703899,0.418716,0.141084,0.0408944,0.00544489,0
200,0.392206,0.00197651,0.0704029,0.0703725,0.443325,0.141067,0.0588976,0.00552103,0
220,0.431788,0.0019815,0.0703802,0.0703491,0.476352,0.141044,0.0674811,0.00553059,0
240,0.471475,0.00198702,0.0703584,0.0703218,0.514993,0.141016,0.0881785,0.00552581,0
260,0.511278,0.00199307,0.0703372,0.0703035,0.540897,0.140998,0.143807,0.00551375,0
280,0.551208,0.00199967,0.0703141,0.0702818,0.57155,0.140976,0.176253,0.00554294,0
300,0.591276,0.00200684,0.0702873,0.0702568,0.606952,0.140951,0.149419,0.00540905,0
320,0.631493,0.00201458,0.0702588,0.0702252,0.651637,0.14092,0.249265,0.00547419,0
340,0.671871,0.00202293,0.0702285,0.0701944,0.695242,0.140889,0.274993,0.00533191,0
360,0.712423,0.0020319,0.0701989,0.0701611,0.742301,0.140856,0.542408,0.00543276,0
380,0.753161,0.00204151,0.0701695,0.0701396,0.772739,0.140834,0.350771,0.00522102,0
400,0.794098,0.0020518,0.0701405,0.0701027,0.824979,0.140797,0.43389,0.0055942,0
420,0.835248,0.00206278,0.0701074,0.0700772,0.861029,0.140772,0.530042,0.00584207,0
440,0.876625,0.00207449,0.0700702,0.0700337,0.922551,0.140728,0.848119,0.00743389,0
460,0.918245,0.00208696,0.0700288,0.0699931,0.979972,0.140688,0.812414,0.00639983,0
480,0.960122,0.00210023,0.0699855,0.0699507,1.03998,0.140645,0.731487,0.00783276,0
500,1.00227,0.00211434,0.0699425,0.0699086,1.09956,0.139732,0.890491,0.00735697,0
520,1.04472,0.00212933,0.0699011,0.0698672,1.15806,0.136275,0.918566,0.0090076,0
540,1.08747,0.00214526,0.0698611,0.069826,1.21635,0.131454,0.791536,0.0108791,0
560,1.13055,0.00216217,0.0698199,0.0697849,1.27463,0.125767,0.946983,0.0115383,0
580,1.17398,0.00218012,0.0697771,0.0697386,1.34004,0.120846,0.940891,0.0110796,0
600,1.21778,0.00219919,0.0697349,0.0696976,1.39811,0.117144,0.957778,0.0112399,0
620,1.26197,0.00221944,0.0696943,0.0696642,1.44538,0.114436,0.964197,0.0108732,0
640,1.30659,0.00224095,0.0696579,0.0696289,1.49525,0.112553,0.908221,0.0103752,0
660,1.35164,0.00226381,0.0696198,0.0695914,1.54835,0.11135,0.940659,0.0100348,0
680,1.39717,0.00228813,0.0695767,0.0695413,1.61916,0.110669,0.941036,0.0094955,0
700,1.4432,0.00231401,0.0695236,0.0694868,1.69622,0.110413,0.954544,0.00944291,0
720,1.48977,0.00234157,0.0694594,0.0694263,1.78192,0.11045,0.903281,0.00860285,0
740,1.53691,0.00237097,0.0693856,0.0693454,1.89633,0.110709,0.952738,0.00808889,0
760,1.58465,0.00240236,0.0693049,0.0692683,2.00534,0.111141,0.873854,0.00802786,0
780,1.63305,0.00243592,0.0692195,0.0691733,2.13983,0.111681,0.944012,0.00780692,0
800,1.68214,0.00247186,0.0691328,0.0690927,2.25381,0.112311,0.933977,0.00904787,0
820,1.73198,0.0025104,0.0690463,0.0689987,2.38678,0.112993,0.809458,0.0100774,0
840,1.78262,0.00255184,0.0689567,0.0689136,2.50724,0.1137,0.806339,0.0116583,0
860,1.83412,0.00259647,0.0688592,0.0688109,2.65251,0.114431,0.912302,0.0132437,0
880,1.88654,0.00264466,0.0687533,0.0687012,2.80772,0.115158,0.951565,0.019227,0
900,1.93998,0.00269685,0.0686377,0.0685858,2.97092,0.115858,0.952908,0.0206566,0
920,1.9945,0.00275354,0.0685092,0.0684624,3.14556,0.116558,0.967244,0.0218618,0
940,2.05021,0.00281534,0.068369,0.0683186,3.3489,0.11723,0.977197,0.0221043,0
960,2.10722,0.00288296,0.0682208,0.0681569,3.57772,0.117853,0.988775,0.0221993,0
980,2.16565,0.00295729,0.0680686,0.0679971,3.80374,0.118466,0.975249,0.0213898,0
1000,2.22564,0.00303941,0.06792,0.0678279,4.04313,0.119048,0.988654,0.0208944,1
1020,2.28737,0.00313065,0.0677821,0.0676614,4.27865,0.119615,0.968452,0.0196955,0
1040,2.35104,0.00323271,0.0676634,0.067541,4.44897,0.120199,0.973127,0.0200148,0
1060,2.41688,0.00334776,0.06756,0.0674579,4.56661,0.120797,0.962415,0.0189461,0
1080,2.48518,0.0034786,0.0674732,0.0673773,4.68059,0.120987,0.969872,0.0206104,0
1100,2.55629,0.00362902,0.0673765,0.0673035,4.78507,0.119639,0.968712,0.0199172,0
1120,2.63066,0.00380416,0.0672435,0.0671655,4.98022,0.117486,0.955311,0.023758,0
1140,2.70886,0.00401132,0.0670505,0.066974,5.25113,0.115161,0.939152,0.0251901,0
1160,2.79163,0.00426118,0.0667859,0.0666435,5.7187,0.11336,0.957581,0.0284615,0
1180,2.87998,0.0045702,0.0664505,0.0662053,6.33867,0.111961,0.98134,0.0311155,0
1200,2.97536,0.00496531,0.0660917,0.0657896,6.9267,0.110877,0.990737,0.0317918,2
1220,3.07994,0.00549442,0.0657372,0.0654788,7.36642,0.11014,0.973091,0.03234,0
1240,3.19729,0.00625345,0.0653763,0.0651859,7.78088,0.109617,0.989635,0.0315778,0
1260,3.33406,0.00747324,0.0650467,0.0649144,8.16491,0.109264,0.990424,0.0293405,0
1280,3.50583,0.00993206,0.0647545,0.0646292,8.56837,0.109023,0.956801,0.0302512,0
1300,3.77998,0.0206952,0.064497,0.0643517,8.96103,0.108881,0.991907,0.028761,0
1320,4.47955,0.0106687,0.0641961,0.0640071,9.44846,0.108422,0.981537,0.0312519,0
