step,time,dt,area_heaviside,area_sharp,area_loss_pct,interface_error,grad_err_max_band,grad_err_mean_band,sign_guard_hits
0,0,0,0.0707861,0.0706592,0.0377091,2.92969e-05,0.000800318,0.000337827,0
20,0.0781717,0.00390968,0.070779,0.0706506,0.0497977,0.0400366,0.0660756,0.0118874,0
40,0.156415,0.00391503,0.0707655,0.0706384,0.0670671,0.0788013,0.0795706,0.0116691,0
60,0.234805,0.00392413,0.0707484,0.0706213,0.0912443,0.113943,0.0897126,0.0117383,0
80,0.313417,0.00393706,0.0707351,0.0706036,0.116285,0.138817,0.0913,0.0121641,0
100,0.392329,0.00395391,0.0707285,0.070592,0.132691,0.141281,0.201544,0.012683,0
120,0.47162,0.00397485,0.0707277,0.0706079,0.110241,0.141296,0.337036,0.0134986,0
140,0.551374,0.00400007,0.0707319,0.0705865,0.140462,0.141275,0.407449,0.0129504,0
160,0.63168,0.0040298,0.0707531,0.0706256,0.0852,0.141314,0.668512,0.0151144,0
180,0.712631,0.00406434,0.0708183,0.0706702,0.0221667,0.141359,0.81344,0.0187193,0
200,0.794326,0.00410404,0.070953,0.0708203,-0.190247,0.141509,0.933079,0.0246631,0
220,0.876872,0.00414932,0.071136,0.0709796,-0.415613,0.141668,0.950753,0.0297442,0
240,0.960387,0.00420069,0.0713271,0.0711914,-0.715237,0.14188,0.944716,0.0330568,0
260,1.045,0.00425877,0.0715068,0.0713641,-0.9596,0.137509,0.960728,0.0329744,0
280,1.13085,0.0043243,0.0716932,0.0715424,-1.21173,0.12717,0.982014,0.032212,0
300,1.2181,0.00439819,0.0719239,0.0717719,-1.5364,0.119036,0.963901,0.032459,0
320,1.30692,0.00448153,0.0722807,0.0721014,-2.00267,0.114866,0.976784,0.0393448,0
340,1.39752,0.00457568,0.0727742,0.0725952,-2.70122,0.113584,0.920535,0.0490215,0
360,1.49013,0.00468233,0.0734202,0.0732153,-3.57851,0.114141,0.97902,0.0511354,0
380,1.58502,0.00480361,0.0742063,0.0740186,-4.71483,0.115825,0.9789,0.0532546,0
400,1.68252,0.00494224,0.0751445,0.0749377,-6.01522,0.11811,0.982028,0.0563247,0
420,1.783,0.00510176,0.0762291,0.0760278,-7.55738,0.120724,0.965573,0.060938,0
440,1.88693,0.00528685,0.0774478,0.0772241,-9.24978,0.123455,0.986277,0.0649004,0
460,1.99489,0.00550387,0.0788201,0.0786023,-11.1995,0.126208,0.99254,0.0714294,0
480,2.1076,0.00576173,0.0803204,0.0801239,-13.3521,0.128909,0.983299,0.076574,0
500,2.226,0.00607327,0.0819481,0.0817664,-15.6757,0.131514,0.995519,0.0805005,0
520,2.35136,0.00645792,0.0837639,0.0835132,-18.147,0.134065,0.98511,0.0827932,0
540,2.48544,0.0069467,0.0856778,0.0854736,-20.9205,0.135282,0.98446,0.0837199,0
560,2.63084,0.00759289,0.0877315,0.0875122,-23.8044,0.13267,0.995759,0.0902053,0
580,2.79164,0.00849791,0.0899291,0.089693,-26.8896,0.131508,0.977228,0.0896535,0
600,2.97506,0.00988661,0.092217,0.0920068,-30.163,0.131838,0.99411,0.0958558,0
620,3.19627,0.012405,0.0947197,0.0944531,-33.6238,0.132999,0.985416,0.0940955,0
640,3.50204,0.0193697,0.0972907,0.0970135,-37.2461,0.134828,0.986938,0.0987343,0
660,4.38848,0.0276742,0.0999524,0.0996954,-41.0402,0.136794,0.997235,0.0867273,0
680,4.74782,0.0137464,0.102143,0.101886,-44.1392,0.138375,0.991911,0.0730221,0
700,4.98383,0.0104774,0.103712,0.103492,-46.4118,0.140052,0.985239,0.0594155,0
720,5.17472,0.00884143,0.104844,0.104645,-48.0429,0.141876,0.980645,0.0481454,0
740,5.34016,0.00782134,0.105704,0.105527,-49.2898,0.144818,0.963424,0.0371767,0
760,5.48875,0.00711118,0.106369,0.106204,-50.2482,0.14987,0.949123,0.032649,0
780,5.62518,0.00658271,0.106845,0.106701,-50.9511,0.151492,0.864205,0.0246971,0
800,5.75236,0.0061715,0.107183,0.107032,-51.4191,0.150386,0.709936,0.0161649,0
820,5.87221,0.0058412,0.107381,0.10723,-51.6989,0.149247,0.672593,0.0130837,0
840,5.9861,0.00556952,0.107508,0.107383,-51.9156,0.148098,0.66032,0.00955436,0
860,6.09503,0.00534196,0.107591,0.107455,-52.0184,0.146918,0.825821,0.00944311,0
880,6.19979,0.00514864,0.107649,0.107507,-52.0918,0.145834,0.804156,0.00964817,0
900,6.30098,0.00498253,0.107692,0.107548,-52.1487,0.144926,0.64746,0.01008,0
920,6.39909,0.00483852,0.107733,0.107573,-52.185,0.144288,0.708377,0.0107472,0
940,6.49451,0.00471278,0.107765,0.107612,-52.2394,0.144219,0.726668,0.0118446,0
960,6.58758,0.00460238,0.107778,0.107614,-52.242,0.145056,0.730159,0.012804,0
980,6.67859,0.00450503,0.107782,0.107603,-52.2273,0.14725,0.850171,0.0145733,0
1000,6.76777,0.00441893,0.107794,0.10764,-52.28,0.151868,0.796158,0.0122869,0
1020,6.85533,0.00434264,0.107825,0.107687,-52.3456,0.159585,0.799243,0.0112755,0
1040,6.94146,0.00427498,0.107864,0.107725,-52.3991,0.171101,0.817881,0.0113521,0
1060,7.02632,0.00421501,0.107909,0.107766,-52.4579,0.177898,0.605914,0.0106966,0
