step,time,dt,area_heaviside,area_sharp,area_loss_pct,interface_error,grad_err_max_band,grad_err_mean_band,sign_guard_hits
0,0,0,0.0707861,0.0706592,0.0377091,2.92969e-05,0.000800318,0.000337827,0
20,0.0781717,0.00390968,0.0707852,0.0706555,0.04289,0.0400525,0.262469,0.108485,0
40,0.156415,0.00391503,0.0707824,0.0706531,0.0463438,0.0788452,0.597197,0.212915,0
60,0.234805,0.00392413,0.0707826,0.0706482,0.0532516,0.114001,0.976557,0.315341,0
80,0.313417,0.00393706,0.070794,0.0706281,0.0817461,0.138864,1.37717,0.422311,0
100,0.392329,0.00395391,0.0707723,0.0706323,0.0757019,0.141321,1.77628,0.565629,0
120,0.47162,0.00397485,0.0708063,0.0706171,0.0972886,0.141306,2.12808,0.70615,0
140,0.551374,0.00400007,0.0707667,0.0705969,0.125783,0.141285,2.47484,0.850387,0
160,0.63168,0.0040298,0.0708769,0.0705627,0.174138,0.141251,2.78963,1.03393,0
180,0.712631,0.00406434,0.0708239,0.0705524,0.188817,0.141241,3.09542,1.21386,0
200,0.794326,0.00410404,0.0708001,0.0704767,0.295887,0.141165,3.3751,1.41566,0
220,0.876872,0.00414932,0.0707825,0.0704321,0.35892,0.141121,4.06093,1.59486,0
240,0.960387,0.00420069,0.0706618,0.0703912,0.416773,0.14108,4.49696,1.75879,0
260,1.045,0.00425877,0.0708658,0.0702869,0.564426,0.136472,4.92505,1.94513,0
280,1.13085,0.0043243,0.0707694,0.0702063,0.678404,0.125844,5.26456,2.13919,0
300,1.2181,0.00439819,0.0709469,0.0703113,0.529888,0.117469,5.56675,2.30322,0
320,1.30692,0.00448153,0.0710492,0.070575,0.156868,0.113197,5.95627,2.52494,0
340,1.39752,0.00457568,0.071406,0.070863,-0.25069,0.11165,6.374,2.62594,0
360,1.49013,0.00468233,0.0719003,0.0710809,-0.558949,0.111682,6.69811,2.75986,0
380,1.58502,0.00480361,0.0723637,0.0713818,-0.98464,0.112609,6.97684,2.90765,0
400,1.68252,0.00494224,0.0725009,0.0716321,-1.33866,0.113882,7.06145,2.95108,0
420,1.783,0.00510176,0.0730286,0.0718652,-1.66851,0.115311,7.3406,3.18859,0
440,1.88693,0.00528685,0.0726943,0.0717883,-1.55971,0.116562,7.71898,3.26864,0
460,1.99489,0.00550387,0.0725991,0.0714868,-1.13316,0.117694,7.9518,3.40579,0
480,2.1076,0.00576173,0.0728866,0.0710382,-0.498506,0.118661,8.06588,3.36515,0
500,2.226,0.00607327,0.0721816,0.0708679,-0.257598,0.1199,8.16943,3.41241,0
520,2.35136,0.00645792,0.0724462,0.0709979,-0.441517,0.121447,8.249,3.43557,0
540,2.48544,0.0069467,0.0721466,0.0708386,-0.216151,0.12194,8.52442,3.72882,0
560,2.63084,0.00759289,0.0723329,0.0705737,0.158595,0.118075,8.7406,3.68049,0
580,2.79164,0.00849791,0.0720365,0.0701727,0.725895,0.114575,8.6334,3.5507,0
600,2.97506,0.00988661,0.0713471,0.0695044,1.6714,0.112534,8.7053,3.65247,0
620,3.19627,0.012405,0.0706359,0.068136,3.6073,0.11063,8.90257,3.61792,0
640,3.50204,0.0193697,0.0694837,0.0675861,4.38528,0.110197,8.86864,3.70316,0
660,4.38848,0.0276742,0.0699916,0.0678534,4.00708,0.110639,8.79036,3.63999,0
680,4.74782,0.0137464,0.0702355,0.067879,3.97082,0.110414,8.7127,3.33982,0
700,4.98383,0.0104774,0.0696077,0.0676581,4.2834,0.110411,8.43784,3.10838,0
720,5.17472,0.00884143,0.0692501,0.0676526,4.29117,0.111707,8.10278,2.96047,0
740,5.34016,0.00782134,0.0691717,0.0671375,5.01994,0.114032,7.67847,2.88419,0
760,5.48875,0.00711118,0.0687888,0.0669391,5.30056,0.117459,7.25261,2.70092,0
780,5.62518,0.00658271,0.0683727,0.0668506,5.42577,0.117125,6.96042,2.5056,0
800,5.75236,0.0061715,0.068218,0.0667664,5.54493,0.115089,6.69126,2.40203,0
820,5.87221,0.0058412,0.0682402,0.0669147,5.3351,0.113152,6.46804,2.32162,0
840,5.9861,0.00556952,0.0684515,0.0669415,5.29711,0.111157,6.13081,2.24007,0
860,6.09503,0.00534196,0.0681128,0.0669476,5.28848,0.109184,5.89507,2.1109,0
880,6.19979,0.00514864,0.0680509,0.0669012,5.3541,0.107278,5.77431,1.96543,0
900,6.30098,0.00498253,0.0678424,0.0669263,5.3187,0.105581,5.56219,1.87331,0
920,6.39909,0.00483852,0.0677465,0.0670538,5.13823,0.104366,5.16637,1.79602,0
940,6.49451,0.00471278,0.0676982,0.0670526,5.13996,0.103792,4.8771,1.65989,0
960,6.58758,0.00460238,0.0676222,0.0670892,5.08815,0.104262,4.84114,1.61452,0
980,6.67859,0.00450503,0.0677519,0.0671295,5.03116,0.106454,4.41409,1.47968,0
1000,6.76777,0.00441893,0.067846,0.0672845,4.81184,0.11158,4.19169,1.38921,0
1020,6.85533,0.00434264,0.0677971,0.0673846,4.67023,0.120718,3.98582,1.26061,0
1040,6.94146,0.00427498,0.0678876,0.0674811,4.5338,0.132175,3.45185,1.18852,0
1060,7.02632,0.00421501,0.0678387,0.0675897,4.3801,0.138278,3.0725,1.06681,0
1080,7.11005,0.00416194,0.0678187,0.0676343,4.31707,0.138323,3.02105,0.973371,0
1100,7.19279,0.00411512,0.0678282,0.067677,4.25663,0.138365,2.79301,0.889385,0
1120,7.27465,0.00407401,0.0677793,0.0676422,4.30585,0.138331,2.47518,0.791416,0
1140,7.35574,0.00403817,0.0678165,0.0677136,4.20482,0.138402,2.18805,0.706834,0
1160,7.43617,0.00400723,0.0678141,0.067738,4.17028,0.138427,1.7731,0.621533,0
1180,7.51603,0.00398087,0.0678405,0.0678137,4.06321,0.138502,1.37415,0.551609,0
1200,7.59541,0.00395886,0.0678671,0.0678448,4.01917,0.138533,1.24494,0.473695,0
1220,7.6744,0.00394097,0.0678765,0.0678662,3.98895,0.134043,1.09791,0.396109,0
1240,7.75306,0.00392706,0.0678741,0.0678729,3.97945,0.111618,0.84591,0.320963,0
1260,7.83149,0.00391699,0.0678658,0.0678577,4.00104,0.0812915,0.596111,0.258319,0
1280,7.90976,0.00391069,0.0678564,0.0678461,4.01745,0.0475665,0.512823,0.203096,0
1300,7.98794,0.00390809,0.0678496,0.0678381,4.02867,0.0189734,0.422973,0.181953,0
1304,8,0.000336076,0.0678489,0.0678192,4.05544,0.0187054,0.41841,0.181831,0
