step,time,dt,area_heaviside,area_sharp,area_loss_pct,interface_error,grad_err_max_band,grad_err_mean_band,sign_guard_hits
0,0,0,0.0707095,0.0706592,0.0377091,2.92969e-05,0.000734463,0.000341329,0
20,0.0781717,0.00390968,0.0706944,0.0706409,0.0636133,0.0400476,0.01219,0.00255653,0
40,0.156415,0.00391503,0.0706645,0.0706085,0.109377,0.0788068,0.0153819,0.00236057,0
60,0.234805,0.00392413,0.0706321,0.0705725,0.160322,0.113932,0.0271131,0.00289111,0
80,0.313417,0.00393706,0.0705978,0.0705463,0.197451,0.138779,0.0470296,0.00317362,0
100,0.392329,0.00395391,0.0705743,0.0705054,0.255304,0.141194,0.172201,0.00401895,0
120,0.47162,0.00397485,0.0705503,0.0704968,0.267392,0.141185,0.2464,0.00419661,0
140,0.551374,0.00400007,0.0705208,0.0704718,0.302795,0.14116,0.209141,0.00400257,0
160,0.63168,0.0040298,0.0704804,0.070423,0.371872,0.141111,0.422274,0.00481777,0
180,0.712631,0.00406434,0.0704096,0.0703314,0.501393,0.14102,0.46615,0.00568402,0
200,0.794326,0.00410404,0.0703681,0.0703119,0.529024,0.141,0.569174,0.00756001,0
220,0.876872,0.00414932,0.0704311,0.0703619,0.458219,0.14105,0.558589,0.00922222,0
240,0.960387,0.00420069,0.0705568,0.0705066,0.253577,0.141195,0.63441,0.0234969,0
260,1.045,0.00425877,0.0707069,0.0706329,0.0748384,0.136928,0.687594,0.0185451,0
280,1.13085,0.0043243,0.0708064,0.0707544,-0.0969923,0.126539,0.692334,0.0224135,0
300,1.2181,0.00439819,0.0708481,0.0707886,-0.145347,0.11808,0.761212,0.0194501,0
320,1.30692,0.00448153,0.070758,0.070708,-0.0313685,0.113477,0.719562,0.0197678,0
340,1.39752,0.00457568,0.070683,0.0706012,0.119739,0.111617,0.749919,0.0168465,0
360,1.49013,0.00468233,0.0708035,0.0707684,-0.116852,0.111707,0.635147,0.0160936,0
380,1.58502,0.00480361,0.0710563,0.0709479,-0.370713,0.112791,0.713185,0.0196172,0
400,1.68252,0.00494224,0.0712929,0.0712427,-0.787769,0.114502,0.730688,0.021063,0
420,1.783,0.00510176,0.0715027,0.0714514,-1.08308,0.116437,0.574456,0.025213,0
440,1.88693,0.00528685,0.07188,0.0718115,-1.59252,0.118746,0.542188,0.0216374,0
460,1.99489,0.00550387,0.0723431,0.0722784,-2.25308,0.121323,0.607512,0.0279609,0
480,2.1076,0.00576173,0.0729212,0.0728632,-3.08028,0.123995,0.593658,0.0264561,0
500,2.226,0.00607327,0.0735521,0.0734967,-3.97657,0.126432,0.607275,0.0325487,0
520,2.35136,0.00645792,0.0743882,0.0743579,-5.19492,0.128602,0.564455,0.0286831,0
540,2.48544,0.0069467,0.0752268,0.0751782,-6.35543,0.129398,0.656065,0.0356865,0
560,2.63084,0.00759289,0.0761878,0.0760956,-7.65323,0.126376,0.649448,0.0357658,0
580,2.79164,0.00849791,0.0771845,0.0771283,-9.11422,0.123892,0.673567,0.0394821,0
600,2.97506,0.00988661,0.0782734,0.0782312,-10.6745,0.122814,0.669449,0.035763,0
620,3.19627,0.012405,0.0793595,0.0792865,-12.1675,0.122685,0.735328,0.0391931,0
640,3.50204,0.0193697,0.0806678,0.0806177,-14.0507,0.123621,0.729223,0.0389794,0
660,4.38848,0.0276742,0.0820755,0.082005,-16.0134,0.124821,0.74563,0.0324884,0
680,4.74782,0.0137464,0.0825185,0.0824585,-16.6549,0.125175,0.70865,0.0241902,0
700,4.98383,0.0104774,0.0823517,0.0822772,-16.3985,0.126116,0.367444,0.0183178,0
720,5.17472,0.00884143,0.0818365,0.0817749,-15.6878,0.127491,0.426355,0.0168789,0
740,5.34016,0.00782134,0.0811995,0.0811572,-14.814,0.129221,0.337184,0.0128771,0
760,5.48875,0.00711118,0.0803372,0.0802753,-13.5663,0.132123,0.324995,0.0106633,0
780,5.62518,0.00658271,0.079314,0.0792535,-12.1208,0.131772,0.508904,0.0110379,0
800,5.75236,0.0061715,0.0782452,0.0782141,-10.6503,0.130082,0.484081,0.00971369,0
820,5.87221,0.0058412,0.0771787,0.0771167,-9.09781,0.128561,0.482363,0.00801872,0
840,5.9861,0.00556952,0.0760002,0.0759357,-7.427,0.127051,0.364194,0.00678776,0
860,6.09503,0.00534196,0.0748749,0.0748273,-5.85893,0.125652,0.436898,0.00638441,0
880,6.19979,0.00514864,0.0738304,0.0737811,-4.37894,0.124439,0.48256,0.0057143,0
900,6.30098,0.00498253,0.0727946,0.0727423,-2.90932,0.123369,0.488042,0.00605707,0
920,6.39909,0.00483852,0.0718377,0.071767,-1.52949,0.122441,0.508392,0.00574336,0
940,6.49451,0.00471278,0.0710599,0.0710101,-0.458787,0.122023,0.335108,0.00525117,0
960,6.58758,0.00460238,0.0704681,0.0704327,0.358057,0.121768,0.293469,0.00448502,0
980,6.67859,0.00450503,0.0699904,0.0699237,1.07819,0.122055,0.349845,0.00504635,0
