step,time,dt,area_heaviside,area_sharp,area_loss_pct,interface_error,grad_err_max_band,grad_err_mean_band,sign_guard_hits
0,0,0,0.0707421,0.0706592,0.0377091,2.92969e-05,0.000775119,0.000341459,0
20,0.0781717,0.00390968,0.0707339,0.0706494,0.0515247,0.0400427,0.0348415,0.00647574,0
40,0.156415,0.00391503,0.0707169,0.0706287,0.0808827,0.0788062,0.0422349,0.00596766,0
60,0.234805,0.00392413,0.0706966,0.0706097,0.10765,0.113947,0.0522997,0.00606561,0
80,0.313417,0.00393706,0.0706766,0.0705853,0.142189,0.138804,0.0878577,0.00655325,0
100,0.392329,0.00395391,0.0706634,0.0705701,0.163776,0.141259,0.185912,0.00706412,0
120,0.47162,0.00397485,0.0706537,0.0705768,0.154278,0.141265,0.283747,0.00717029,0
140,0.551374,0.00400007,0.0706433,0.0705469,0.196588,0.141235,0.369125,0.00780875,0
160,0.63168,0.0040298,0.0706201,0.0705347,0.213857,0.141223,0.465136,0.00846492,0
180,0.712631,0.00406434,0.070594,0.0704828,0.287252,0.141171,0.550595,0.0107695,0
200,0.794326,0.00410404,0.0706099,0.0705231,0.230263,0.141212,0.71672,0.0166678,0
220,0.876872,0.00414932,0.0707158,0.0705975,0.12492,0.141286,0.941408,0.0205578,0
240,0.960387,0.00420069,0.0708535,0.0707684,-0.116852,0.141457,0.797452,0.0276806,0
260,1.045,0.00425877,0.0709843,0.0708875,-0.285229,0.137078,0.978696,0.0301973,0
280,1.13085,0.0043243,0.0710878,0.0710114,-0.460514,0.126682,0.955451,0.0292323,0
300,1.2181,0.00439819,0.0711338,0.071048,-0.512322,0.118321,0.956517,0.0276461,0
320,1.30692,0.00448153,0.0711199,0.0710327,-0.490735,0.113793,0.973328,0.0288777,0
340,1.39752,0.00457568,0.0711973,0.071076,-0.552041,0.112066,0.933703,0.0343557,0
360,1.49013,0.00468233,0.0714444,0.0713525,-0.943194,0.112284,0.845064,0.0393212,0
380,1.58502,0.00480361,0.0717849,0.0716516,-1.36629,0.113508,0.952685,0.0450621,0
400,1.68252,0.00494224,0.0721694,0.0720563,-1.93878,0.115356,0.93736,0.0490385,0
420,1.783,0.00510176,0.0726467,0.0725348,-2.61574,0.117615,0.96048,0.0499146,0
440,1.88693,0.00528685,0.0732442,0.0731335,-3.4628,0.120171,0.99141,0.0569715,0
460,1.99489,0.00550387,0.073869,0.0737823,-4.38067,0.122794,0.991066,0.0598493,0
480,2.1076,0.00576173,0.0746392,0.0745386,-5.45051,0.125338,0.986102,0.0684985,0
500,2.226,0.00607327,0.0754401,0.075321,-6.55748,0.127554,0.970351,0.0730363,0
520,2.35136,0.00645792,0.0765005,0.0763812,-8.05733,0.129694,0.979824,0.0750943,0
540,2.48544,0.0069467,0.0775441,0.0774091,-9.51141,0.130239,0.987547,0.0793279,0
560,2.63084,0.00759289,0.0787898,0.0786542,-11.2729,0.127471,0.99549,0.0794224,0
580,2.79164,0.00849791,0.08014,0.0800177,-13.2019,0.125749,0.98429,0.0803258,0
600,2.97506,0.00988661,0.081542,0.0814752,-15.2639,0.125229,0.977229,0.0867687,0
620,3.19627,0.012405,0.0831934,0.0830798,-17.5339,0.12562,0.972337,0.0895419,0
640,3.50204,0.0193697,0.0849104,0.0847803,-19.9396,0.126934,0.986644,0.0918253,0
660,4.38848,0.0276742,0.0868555,0.0866895,-22.6405,0.128409,0.982634,0.0832343,0
680,4.74782,0.0137464,0.0880509,0.0879291,-24.3942,0.129322,0.988411,0.069027,0
700,4.98383,0.0104774,0.0886256,0.0884851,-25.1808,0.130538,0.959879,0.0593783,0
720,5.17472,0.00884143,0.0887854,0.0886847,-25.4632,0.132039,0.867241,0.043854,0
740,5.34016,0.00782134,0.0887024,0.0885449,-25.2654,0.133783,0.710551,0.0357204,0
760,5.48875,0.00711118,0.0883224,0.088233,-24.8242,0.137319,0.664725,0.0332418,0
780,5.62518,0.00658271,0.0877724,0.0876471,-23.9953,0.137944,0.64803,0.021434,0
800,5.75236,0.0061715,0.087142,0.087041,-23.1378,0.136447,0.621361,0.0242292,0
820,5.87221,0.0058412,0.0864362,0.0863544,-22.1664,0.135027,0.676866,0.0150992,0
840,5.9861,0.00556952,0.0857495,0.0856494,-21.1691,0.133633,0.485416,0.0133905,0
860,6.09503,0.00534196,0.0850796,0.0849811,-20.2236,0.132375,0.782612,0.0108493,0
880,6.19979,0.00514864,0.0844984,0.0843964,-19.3964,0.131225,0.495651,0.00983627,0
900,6.30098,0.00498253,0.0839824,0.0838989,-18.6927,0.130254,0.599879,0.00935317,0
920,6.39909,0.00483852,0.0835509,0.0834607,-18.0727,0.12947,0.691597,0.00953225,0
940,6.49451,0.00471278,0.0832225,0.0831281,-17.6021,0.129081,0.707693,0.0101361,0
960,6.58758,0.00460238,0.0830089,0.0828961,-17.274,0.1293,0.6884,0.00945732,0
980,6.67859,0.00450503,0.0828488,0.0827716,-17.0979,0.130566,0.798697,0.0104373,0
1000,6.76777,0.00441893,0.08278,0.0826624,-16.9433,0.133934,0.575474,0.00867501,0
1020,6.85533,0.00434264,0.0827625,0.082663,-16.9442,0.139482,0.549754,0.00842541,0
1040,6.94146,0.00427498,0.0827529,0.082652,-16.9286,0.148661,0.341155,0.0067737,0
1060,7.02632,0.00421501,0.0827407,0.0826587,-16.9381,0.15327,0.430997,0.00723182,0
1080,7.11005,0.00416194,0.0827496,0.0826501,-16.926,0.153339,0.589106,0.00793851,0
1100,7.19279,0.00411512,0.0827631,0.0826843,-16.9744,0.153373,0.625157,0.00930729,0
1120,7.27465,0.00407401,0.082785,0.0827057,-17.0046,0.153394,0.697018,0.0103987,0
1140,7.35574,0.00403817,0.0828003,0.0827155,-17.0184,0.153404,0.645701,0.0124668,1
1160,7.43617,0.00400723,0.0828183,0.0827173,-17.021,0.153406,0.633485,0.0142235,0
1180,7.51603,0.00398087,0.0828388,0.0827441,-17.059,0.153433,0.705613,0.0151324,0
1200,7.59541,0.00395886,0.0828372,0.0827515,-17.0694,0.152927,0.586403,0.0160884,0
1220,7.6744,0.00394097,0.082812,0.0827112,-17.0124,0.143015,0.532731,0.0189144,0
1240,7.75306,0.00392706,0.0827875,0.0826953,-16.9899,0.120905,0.36844,0.0193343,0
1260,7.83149,0.00391699,0.0827553,0.0826624,-16.9433,0.0881384,0.302474,0.0191423,0
1280,7.90976,0.00391069,0.0827367,0.0826312,-16.8993,0.0529706,0.536699,0.0211725,0
1300,7.98794,0.00390809,0.0827227,0.0826434,-16.9165,0.0244562,0.518927,0.0245708,0
1304,8,0.000336076,0.082731,0.0826404,-16.9122,0.0238403,0.779222,0.0240479,0
