step,time,dt,area_heaviside,area_sharp,area_loss_pct,interface_error,grad_err_max_band,grad_err_mean_band,sign_guard_hits
0,0,0,0.0707861,0.0706592,0.0377091,2.92969e-05,0.000800318,0.000337827,0
20,0.0781717,0.00390968,0.0707856,0.070661,0.0351187,0.0400458,0.138088,0.0311825,0
40,0.156415,0.00391503,0.0707836,0.0706525,0.0472073,0.0788165,0.232368,0.0379356,0
60,0.234805,0.00392413,0.0707747,0.0706482,0.0532516,0.113969,0.322187,0.0397025,0
80,0.313417,0.00393706,0.0707674,0.0706219,0.0903809,0.138836,0.357566,0.0406848,0
100,0.392329,0.00395391,0.0707577,0.0706165,0.0981521,0.141305,0.343452,0.0402222,0
120,0.47162,0.00397485,0.070748,0.0706097,0.10765,0.141298,0.376156,0.0399917,0
140,0.551374,0.00400007,0.0707346,0.0705627,0.174138,0.141251,0.426506,0.0385969,0
160,0.63168,0.0040298,0.0707111,0.0705627,0.174138,0.141251,0.685671,0.0400569,0
180,0.712631,0.00406434,0.0706993,0.070542,0.203496,0.14123,0.782685,0.0433746,0
200,0.794326,0.00410404,0.0707368,0.0705939,0.130101,0.141282,0.912886,0.0461713,0
220,0.876872,0.00414932,0.0708251,0.0706439,0.0592959,0.141332,0.92241,0.051602,0
240,0.960387,0.00420069,0.0709125,0.0707379,-0.0736786,0.141426,0.985083,0.0536488,0
260,1.045,0.00425877,0.0709777,0.0707605,-0.105627,0.136925,0.970259,0.0528603,0
280,1.13085,0.0043243,0.0710079,0.0707587,-0.103037,0.126408,0.96585,0.0514038,0
300,1.2181,0.00439819,0.0710577,0.070802,-0.164343,0.118081,0.962899,0.0512629,0
320,1.30692,0.00448153,0.0711592,0.0708746,-0.267096,0.113638,0.907476,0.0586771,0
340,1.39752,0.00457568,0.0713144,0.0710687,-0.54168,0.112083,0.944949,0.0704353,0
360,1.49013,0.00468233,0.0715505,0.0713434,-0.930242,0.11236,0.994119,0.0742869,0
380,1.58502,0.00480361,0.0718739,0.0715887,-1.27736,0.11361,0.980849,0.0763355,0
400,1.68252,0.00494224,0.0722801,0.0720294,-1.90078,0.115533,0.993684,0.0787695,0
420,1.783,0.00510176,0.0727861,0.072522,-2.5976,0.117727,0.985577,0.0874272,0
440,1.88693,0.00528685,0.0733913,0.0731244,-3.44985,0.120051,0.986275,0.0932748,1
