step,time,dt,area_heaviside,area_sharp,area_loss_pct,interface_error,grad_err_max_band,grad_err_mean_band,sign_guard_hits
0,0,0,0.0707861,0.0706592,0.0377091,2.92969e-05,0.000800318,0.000337827,0
20,0.0781717,0.00390968,0.0707655,0.0706372,0.0687941,0.0400525,0.00911553,0.00196945,0
40,0.156415,0.00391503,0.0707354,0.0706067,0.111968,0.0788196,0.0144998,0.00206766,0
60,0.234805,0.00392413,0.0707033,0.0705774,0.153414,0.11396,0.0296666,0.00248785,0
80,0.313417,0.00393706,0.0706641,0.0705322,0.217311,0.138778,0.0819671,0.00287424,0
100,0.392329,0.00395391,0.0706194,0.0704736,0.300204,0.141162,0.134616,0.00325989,0
120,0.47162,0.00397485,0.0705701,0.0704584,0.321791,0.141147,0.32227,0.00385405,0
140,0.551374,0.00400007,0.0705013,0.0703632,0.456492,0.141052,0.626841,0.00493605,0
160,0.63168,0.0040298,0.0704066,0.0702783,0.576515,0.140967,0.707798,0.00686945,0
180,0.712631,0.00406434,0.0702918,0.0701617,0.741438,0.14085,0.815038,0.0108405,0
200,0.794326,0.00410404,0.0702049,0.0700708,0.870095,0.140759,0.944908,0.0182015,0
220,0.876872,0.00414932,0.0701966,0.0700348,0.92104,0.140723,0.959458,0.024922,0
240,0.960387,0.00420069,0.0702531,0.0701306,0.785475,0.140819,0.97,0.0262835,0
260,1.045,0.00425877,0.0703421,0.0702051,0.680131,0.136769,0.992065,0.0260587,0
280,1.13085,0.0043243,0.070357,0.0702124,0.66977,0.126312,0.944192,0.0246494,0
300,1.2181,0.00439819,0.0703406,0.0701984,0.68963,0.117532,0.949038,0.0278823,0
320,1.30692,0.00448153,0.0702004,0.0700488,0.90118,0.112831,0.96735,0.0405757,0
340,1.39752,0.00457568,0.070082,0.0699213,1.08165,0.110911,0.971807,0.0436136,0
360,1.49013,0.00468233,0.0700996,0.0699615,1.02466,0.110883,0.987683,0.0447592,0
