step,time,dt,area_heaviside,area_sharp,area_loss_pct,interface_error,grad_err_max_band,grad_err_mean_band,sign_guard_hits
0,0,0,0.0707861,0.0706592,0.0377091,2.92969e-05,0.000800318,0.000337827,0
20,0.0781717,0.00390968,0.0707699,0.0706445,0.0584324,0.0400476,0.0156484,0.0030674,0
40,0.156415,0.00391503,0.0707428,0.0706134,0.102469,0.0788104,0.0198316,0.00295014,0
60,0.234805,0.00392413,0.070712,0.0705841,0.143916,0.113937,0.0345513,0.00338428,0
80,0.313417,0.00393706,0.0706796,0.0705554,0.184499,0.138781,0.0911333,0.00374337,0
100,0.392329,0.00395391,0.0706534,0.0705157,0.240625,0.141204,0.178906,0.00431284,0
120,0.47162,0.00397485,0.0706301,0.0705054,0.255304,0.141194,0.335812,0.00489785,0
140,0.551374,0.00400007,0.070603,0.0704858,0.282935,0.141174,0.368329,0.00515001,0
160,0.63168,0.0040298,0.07056,0.070434,0.35633,0.141122,0.719795,0.00804695,0
180,0.712631,0.00406434,0.0704976,0.0703455,0.481533,0.141034,0.816027,0.0125386,0
200,0.794326,0.00410404,0.0704628,0.0703296,0.503983,0.141018,0.94672,0.0194303,0
220,0.876872,0.00414932,0.0705302,0.0703796,0.433179,0.141068,0.969877,0.0265208,0
240,0.960387,0.00420069,0.0706524,0.0705286,0.222492,0.141217,0.968728,0.0282872,0
260,1.045,0.00425877,0.0708141,0.0706531,0.0463438,0.136913,0.960396,0.0279875,0
280,1.13085,0.0043243,0.0709242,0.0707892,-0.14621,0.126539,0.951839,0.0270093,0
300,1.2181,0.00439819,0.0709918,0.0708411,-0.219605,0.118126,0.972001,0.030315,0
320,1.30692,0.00448153,0.0709277,0.0707788,-0.131531,0.113544,0.966215,0.0427238,0
340,1.39752,0.00457568,0.0708779,0.0706952,-0.0132356,0.111708,0.998365,0.0466316,0
360,1.49013,0.00468233,0.0710005,0.0708521,-0.235148,0.111794,0.980577,0.0479896,0
380,1.58502,0.00480361,0.0712607,0.0710638,-0.534772,0.112906,0.98134,0.0521761,0
400,1.68252,0.00494224,0.0715135,0.0713702,-0.968234,0.114625,0.988714,0.0574302,0
420,1.783,0.00510176,0.0717547,0.0716064,-1.3024,0.116587,0.994366,0.064846,0
440,1.88693,0.00528685,0.0721572,0.0719727,-1.82048,0.118915,0.994327,0.067787,0
460,1.99489,0.00550387,0.0726071,0.0724219,-2.45599,0.121469,0.984512,0.0773976,0
480,2.1076,0.00576173,0.073213,0.0730231,-3.30651,0.124141,0.989095,0.0829235,0
500,2.226,0.00607327,0.073846,0.0736792,-4.23474,0.126587,0.988663,0.0898965,0
520,2.35136,0.00645792,0.0747367,0.0745715,-5.49714,0.128766,0.979828,0.0944699,0
540,2.48544,0.0069467,0.0755771,0.0753949,-6.66196,0.129487,0.992844,0.0985951,0
560,2.63084,0.00759289,0.0765912,0.076394,-8.07546,0.126534,0.991652,0.105894,0
580,2.79164,0.00849791,0.0776273,0.0774719,-9.60035,0.124196,0.989999,0.109615,0
600,2.97506,0.00988661,0.0787246,0.07854,-11.1114,0.123099,0.99234,0.112394,0
620,3.19627,0.012405,0.0798702,0.079682,-12.727,0.123036,0.994394,0.116506,0
640,3.50204,0.0193697,0.0812247,0.0810028,-14.5955,0.123998,0.993141,0.119494,0
660,4.38848,0.0276742,0.082646,0.0824567,-16.6523,0.125203,0.998748,0.121772,0
680,4.74782,0.0137464,0.0831327,0.0829218,-17.3103,0.125584,0.997686,0.118087,0
700,4.98383,0.0104774,0.083013,0.0828003,-17.1385,0.126526,0.991545,0.116461,0
720,5.17472,0.00884143,0.0825511,0.0824127,-16.5901,0.127947,0.990143,0.114599,0
740,5.34016,0.00782134,0.0819436,0.0817834,-15.6999,0.129617,0.993434,0.111442,0
760,5.48875,0.00711118,0.0811017,0.0809448,-14.5135,0.132584,0.992958,0.105713,0
780,5.62518,0.00658271,0.0800827,0.0799298,-13.0775,0.132309,0.989566,0.101227,0
800,5.75236,0.0061715,0.0790357,0.078891,-11.6079,0.130629,0.986873,0.0947154,0
820,5.87221,0.0058412,0.077994,0.0778375,-10.1176,0.12913,0.98147,0.0858662,0
840,5.9861,0.00556952,0.0768438,0.0766968,-8.50374,0.127603,0.982039,0.0797041,0
860,6.09503,0.00534196,0.075748,0.0755951,-6.94518,0.12621,0.977705,0.070712,0
880,6.19979,0.00514864,0.0747294,0.0746143,-5.55758,0.125035,0.910721,0.060594,0
900,6.30098,0.00498253,0.0737343,0.0735803,-4.09486,0.123925,0.946284,0.0482514,0
920,6.39909,0.00483852,0.0728135,0.0726843,-2.82729,0.123008,0.820701,0.0404424,0
940,6.49451,0.00471278,0.0720823,0.0719421,-1.77731,0.122552,0.922038,0.028969,0
960,6.58758,0.00460238,0.0715261,0.0714056,-1.01832,0.122341,0.833322,0.0223839,0
