step,time,dt,area_heaviside,area_sharp,area_loss_pct,interface_error,grad_err_max_band,grad_err_mean_band,sign_guard_hits
0,0,0,0.0707861,0.0706592,0.0377091,2.92969e-05,0.000800318,0.000337827,0
20,0.0781717,0.00390968,0.0707447,0.0706165,0.0981521,0.0400525,0.00849625,0.00179078,0
40,0.156415,0.00391503,0.0706979,0.0705621,0.175001,0.0788373,0.0134811,0.00191448,0
60,0.234805,0.00392413,0.0706421,0.0705115,0.246669,0.11394,0.0271161,0.00231825,0
80,0.313417,0.00393706,0.0705737,0.0704541,0.327835,0.138717,0.066906,0.00265442,0
100,0.392329,0.00395391,0.0704802,0.0703436,0.484124,0.141032,0.18698,0.00310841,0
120,0.47162,0.00397485,0.0703639,0.0702405,0.63005,0.140929,0.199061,0.00326318,0
140,0.551374,0.00400007,0.0702313,0.0700916,0.840737,0.14078,0.489573,0.003979,0
160,0.63168,0.0040298,0.07004,0.0699207,1.08251,0.140609,0.647574,0.00559379,0
180,0.712631,0.00406434,0.0698242,0.0697046,1.38818,0.140393,0.691587,0.00935545,0
200,0.794326,0.00410404,0.0696249,0.0695074,1.66708,0.140196,0.910856,0.0148527,0
220,0.876872,0.00414932,0.0694927,0.0693427,1.90022,0.140031,0.919107,0.0212954,0
240,0.960387,0.00420069,0.0693656,0.0692395,2.04614,0.139928,0.970607,0.0230479,0
260,1.045,0.00425877,0.0692284,0.0690979,2.24647,0.136123,0.968589,0.0224036,0
280,1.13085,0.0043243,0.0690936,0.0689575,2.44507,0.125756,0.974477,0.020295,0
300,1.2181,0.00439819,0.068895,0.0687708,2.70929,0.116227,0.967814,0.0222383,0
320,1.30692,0.00448153,0.0686439,0.0685175,3.06763,0.111314,0.966644,0.0350632,0
340,1.39752,0.00457568,0.0683139,0.0681671,3.56326,0.10915,0.976542,0.0386474,0
360,1.49013,0.00468233,0.0680608,0.0679169,3.91728,0.108804,0.981825,0.0390448,0
380,1.58502,0.00480361,0.0678672,0.0677124,4.20655,0.109467,0.99056,0.044985,0
400,1.68252,0.00494224,0.0677454,0.0675946,4.3732,0.110761,0.993326,0.049847,0
420,1.783,0.00510176,0.0677067,0.0675543,4.43019,0.112411,0.988681,0.0591541,0
440,1.88693,0.00528685,0.0678162,0.0676489,4.29635,0.11437,0.988985,0.0615845,0
460,1.99489,0.00550387,0.0678604,0.0676892,4.23936,0.116394,0.996234,0.0701782,0
480,2.1076,0.00576173,0.0679308,0.0677588,4.14092,0.118452,0.989903,0.0753001,0
500,2.226,0.00607327,0.067957,0.0678027,4.07875,0.120219,0.990486,0.0807428,0
520,2.35136,0.00645792,0.0680802,0.0679126,3.92333,0.121737,0.990254,0.0853875,0
540,2.48544,0.0069467,0.0682365,0.0680756,3.69278,0.12291,0.988229,0.0875975,0
560,2.63084,0.00759289,0.0684936,0.0683221,3.34394,0.121821,0.98024,0.0958599,0
580,2.79164,0.00849791,0.0688302,0.0686639,2.8604,0.11751,0.993573,0.10009,0
600,2.97506,0.00988661,0.0691592,0.0689984,2.38721,0.113687,0.99039,0.103833,0
620,3.19627,0.012405,0.0696132,0.0694373,1.76638,0.112656,0.996375,0.109164,0
640,3.50204,0.0193697,0.0702095,0.0700427,0.909815,0.112866,0.996362,0.113682,0
660,4.38848,0.0276742,0.0709496,0.0707733,-0.12376,0.113282,0.998323,0.115268,0
680,4.74782,0.0137464,0.070901,0.0707806,-0.134122,0.113301,0.996757,0.111425,0
700,4.98383,0.0104774,0.0702992,0.0701514,0.756117,0.114348,0.998318,0.110004,0
720,5.17472,0.00884143,0.0695488,0.069397,1.82337,0.118341,0.990263,0.107085,0
740,5.34016,0.00782134,0.0687173,0.0685425,3.03223,0.121848,0.993119,0.0996354,0
760,5.48875,0.00711118,0.0676825,0.0675311,4.463,0.120837,0.990564,0.0984425,0
780,5.62518,0.00658271,0.0666559,0.0665118,5.90499,0.118868,0.992699,0.0933179,0
800,5.75236,0.0061715,0.0656653,0.0655334,7.28914,0.117108,0.983206,0.0850686,0
820,5.87221,0.0058412,0.0646111,0.0644562,8.81316,0.115678,0.995326,0.0837019,0
840,5.9861,0.00556952,0.0635412,0.0634149,10.2862,0.114244,0.983882,0.0710969,0
860,6.09503,0.00534196,0.0625344,0.0624048,11.7153,0.112882,0.979654,0.0649493,0
880,6.19979,0.00514864,0.0616021,0.0614935,13.0045,0.111755,0.991423,0.0523749,0
900,6.30098,0.00498253,0.0607121,0.0605762,14.3022,0.110658,0.883015,0.0419856,0
920,6.39909,0.00483852,0.0598407,0.0597137,15.5223,0.109587,0.733722,0.0260884,0
940,6.49451,0.00471278,0.059106,0.0589624,16.5853,0.10899,0.636934,0.0223506,0
960,6.58758,0.00460238,0.0585052,0.0583844,17.403,0.108305,0.723875,0.0145359,0
980,6.67859,0.00450503,0.0580707,0.0579376,18.035,0.109435,0.718554,0.00924466,0
1000,6.76777,0.00441893,0.0577296,0.0576038,18.5074,0.116122,0.597653,0.0065512,0
1020,6.85533,0.00434264,0.0574566,0.0573303,18.8942,0.123724,0.757525,0.00578542,0
1040,6.94146,0.00427498,0.0572202,0.0571027,19.2163,0.127791,0.548207,0.00558352,0
1060,7.02632,0.00421501,0.0570156,0.0568909,19.5159,0.127579,0.506328,0.00589374,0
1080,7.11005,0.00416194,0.0568356,0.0566949,19.7931,0.127383,0.3659,0.00381509,0
1100,7.19279,0.00411512,0.0566596,0.05651,20.0547,0.127198,0.362452,0.00414219,0
1120,7.27465,0.00407401,0.0564814,0.0563574,20.2706,0.127046,0.414602,0.00449794,0
1140,7.35574,0.00403817,0.0562985,0.0561755,20.5279,0.126864,0.29508,0.00425609,0
1160,7.43617,0.00400723,0.0561277,0.0560022,20.7731,0.126691,0.203293,0.00455903,0
1180,7.51603,0.00398087,0.0559613,0.055824,21.0252,0.126512,0.218513,0.00515924,0
1200,7.59541,0.00395886,0.0557789,0.0556561,21.2627,0.126345,0.214818,0.00580053,0
1220,7.6744,0.00394097,0.055589,0.0554504,21.5537,0.123419,0.227938,0.00638597,0
1240,7.75306,0.00392706,0.0554076,0.0552875,21.7842,0.106398,0.18835,0.00644699,0
1260,7.83149,0.00391699,0.0552269,0.0550958,22.0554,0.076424,0.087638,0.00514657,0
1280,7.90976,0.00391069,0.0550544,0.0549292,22.2911,0.0432043,0.207012,0.00484087,0
1300,7.98794,0.00390809,0.0548792,0.0547504,22.5441,0.0252704,0.242742,0.0043803,0
1304,8,0.000336076,0.054847,0.0547241,22.5812,0.0250916,0.351471,0.00385829,0
