step,time,dt,area_heaviside,area_sharp,area_loss_pct,interface_error,grad_err_max_band,grad_err_mean_band,sign_guard_hits
0,0,0,0.0707861,0.0706592,0.0377091,2.92969e-05,0.000800318,0.000337827,0
20,0.0781717,0.00390968,0.0706609,0.0705371,0.210403,0.0400452,0.0595646,0.0137789,0
40,0.156415,0.00391503,0.0705094,0.0703802,0.432315,0.0787726,0.0754522,0.0136134,0
60,0.234805,0.00392413,0.070387,0.0702606,0.601556,0.113798,0.0783845,0.0140387,0
80,0.313417,0.00393706,0.0702584,0.0701239,0.794973,0.13843,0.0878955,0.0150645,0
100,0.392329,0.00395391,0.0701142,0.0699792,0.999616,0.140668,0.212745,0.0159224,0
120,0.47162,0.00397485,0.0699748,0.0698462,1.18785,0.140535,0.265568,0.0159053,0
140,0.551374,0.00400007,0.0698298,0.0696936,1.40372,0.140382,0.509027,0.0163871,0
160,0.63168,0.0040298,0.0696483,0.0695166,1.65413,0.140205,0.654928,0.0176364,0
180,0.712631,0.00406434,0.0694497,0.0693121,1.94339,0.140001,0.691393,0.0209542,0
200,0.794326,0.00410404,0.069233,0.0690869,2.26201,0.139775,0.855617,0.0264203,0
220,0.876872,0.00414932,0.0689603,0.0687878,2.68511,0.139476,0.975701,0.0326032,0
240,0.960387,0.00420069,0.0686508,0.068454,3.15743,0.139142,0.950965,0.0322218,0
260,1.045,0.00425877,0.0683869,0.0681396,3.60212,0.135162,0.965091,0.0314208,0
280,1.13085,0.0043243,0.0681976,0.0679901,3.81367,0.124943,0.951205,0.028442,0
300,1.2181,0.00439819,0.0679409,0.0677374,4.17114,0.115526,0.92257,0.0330961,0
320,1.30692,0.00448153,0.0674946,0.0672784,4.82047,0.110432,0.927542,0.0445752,0
340,1.39752,0.00457568,0.0668144,0.0664801,5.94989,0.107792,0.976238,0.0518826,0
360,1.49013,0.00468233,0.0658655,0.0652911,7.63194,0.106423,0.970694,0.0553657,0
380,1.58502,0.00480361,0.0647043,0.0639355,9.5497,0.105875,0.970275,0.0602514,0
400,1.68252,0.00494224,0.0635758,0.062746,11.2326,0.105997,0.973043,0.0623206,0
420,1.783,0.00510176,0.0626317,0.061969,12.3318,0.106748,0.967276,0.0704122,0
440,1.88693,0.00528685,0.0617545,0.0612756,13.3127,0.107664,0.982854,0.0710343,0
460,1.99489,0.00550387,0.0603349,0.0598181,15.3747,0.10786,0.980123,0.0850367,1
480,2.1076,0.00576173,0.0582287,0.0567511,19.7136,0.106428,0.989292,0.0949315,1
500,2.226,0.00607327,0.0561202,0.0541711,23.3635,0.105511,0.980777,0.102778,0
520,2.35136,0.00645792,0.0540582,0.0530872,24.897,0.106241,0.971468,0.111792,0
540,2.48544,0.0069467,0.0516159,0.0508606,28.047,0.106433,0.989061,0.109383,0
560,2.63084,0.00759289,0.0489223,0.0463379,34.4453,0.103889,0.992902,0.119989,0
580,2.79164,0.00849791,0.04617,0.044552,36.9718,0.102107,0.992829,0.134034,0
600,2.97506,0.00988661,0.043021,0.0419061,40.715,0.0991791,0.992934,0.138168,0
620,3.19627,0.012405,0.0399517,0.0373438,47.1694,0.0941284,0.993947,0.145851,0
640,3.50204,0.0193697,0.0367108,0.0353302,50.018,0.0910809,0.992995,0.153283,0
660,4.38848,0.0276742,0.0333737,0.0313239,55.6858,0.0869476,0.992309,0.165331,0
680,4.74782,0.0137464,0.0306705,0.0285522,59.6068,0.085083,0.983536,0.157658,0
700,4.98383,0.0104774,0.0283854,0.0270886,61.6774,0.0855823,0.991403,0.156479,1
720,5.17472,0.00884143,0.0264687,0.025871,63.4001,0.0899921,0.973597,0.124173,0
740,5.34016,0.00782134,0.0247217,0.0243982,65.4836,0.0940491,0.997047,0.111346,0
760,5.48875,0.00711118,0.0230921,0.0223541,68.3754,0.0930426,0.976784,0.0991586,0
780,5.62518,0.00658271,0.0217365,0.02052,70.9701,0.0912085,0.928304,0.0912895,0
800,5.75236,0.0061715,0.0207588,0.0196411,72.2135,0.0903296,0.939028,0.0806201,0
820,5.87221,0.0058412,0.0199947,0.0193683,72.5995,0.0900568,0.949532,0.0668571,0
840,5.9861,0.00556952,0.0193376,0.0191534,72.9034,0.0898419,0.866258,0.0355625,0
860,6.09503,0.00534196,0.0189997,0.0188501,73.3326,0.0895386,0.563052,0.0233775,0
880,6.19979,0.00514864,0.0186909,0.0185577,73.7462,0.0892133,0.590394,0.0191827,0
900,6.30098,0.00498253,0.0183975,0.0182623,74.1641,0.0836639,0.435421,0.0159324,0
920,6.39909,0.00483852,0.0181991,0.0180731,74.4318,0.0760846,0.486472,0.0138563,0
940,6.49451,0.00471278,0.0180129,0.0178796,74.7055,0.06823,0.518749,0.0156439,0
960,6.58758,0.00460238,0.01776,0.0176263,75.0638,0.0608771,0.330369,0.01408,0
980,6.67859,0.00450503,0.0174992,0.0173651,75.4334,0.061236,0.364014,0.0154423,0
1000,6.76777,0.00441893,0.0173046,0.0171771,75.6993,0.0705267,0.269433,0.0147296,0
1020,6.85533,0.00434264,0.0171604,0.0170319,75.9048,0.0812067,0.435332,0.0141147,0
1040,6.94146,0.00427498,0.0169449,0.0168164,76.2097,0.0875049,0.341018,0.0133123,0
1060,7.02632,0.00421501,0.0167172,0.0165833,76.5395,0.0872717,0.296844,0.0148962,0
1080,7.11005,0.00416194,0.0165282,0.0163892,76.8141,0.0870776,0.288851,0.01476,0
1100,7.19279,0.00411512,0.0163761,0.0162482,77.0135,0.0869366,0.250655,0.0143549,0
1120,7.27465,0.00407401,0.0162003,0.0160638,77.2743,0.0867523,0.231922,0.0132864,0
1140,7.35574,0.00403817,0.0159984,0.0158618,77.5601,0.0865503,0.181395,0.0122973,0
1160,7.43617,0.00400723,0.0158101,0.0156812,77.8157,0.0863696,0.204403,0.013154,0
1180,7.51603,0.00398087,0.0156347,0.0155103,78.0575,0.0861987,0.16662,0.0134196,0
1200,7.59541,0.00395886,0.0154748,0.0153381,78.301,0.0860266,0.0848369,0.0115479,0
1220,7.6744,0.00394097,0.0152998,0.015166,78.5445,0.0858545,0.0788076,0.00949021,0
1240,7.75306,0.00392706,0.0151466,0.0150195,78.7517,0.0851099,0.0891268,0.00951274,0
1260,7.83149,0.00391699,0.0150082,0.0148773,78.9529,0.0751398,0.0943622,0.0110626,0
1280,7.90976,0.00391069,0.014857,0.0147357,79.1532,0.0624115,0.0960657,0.0120227,0
1300,7.98794,0.00390809,0.0146754,0.0145428,79.4261,0.0566864,0.136912,0.0113995,0
1304,8,0.000336076,0.014645,0.0145099,79.4727,0.0575629,0.144441,0.0103125,0
