step,time,dt,area_heaviside,area_sharp,area_loss_pct,interface_error,grad_err_max_band,grad_err_mean_band,sign_guard_hits
0,0,0,0.0707861,0.0706592,0.0377091,2.92969e-05,0.000800318,0.000337827,0
20,0.0781717,0.00390968,0.0706804,0.0705621,0.175001,0.0400433,0.119677,0.0271359,0
40,0.156415,0.00391503,0.0705067,0.0703748,0.440087,0.0787549,0.196769,0.0304206,0
60,0.234805,0.00392413,0.0703477,0.0702197,0.659408,0.113787,0.24647,0.0315397,0
80,0.313417,0.00393706,0.0701561,0.0700195,0.942627,0.138315,0.253409,0.0324668,0
100,0.392329,0.00395391,0.0699526,0.0698096,1.23966,0.140498,0.252725,0.0327404,0
120,0.47162,0.00397485,0.0697628,0.0696295,1.49438,0.140318,0.311906,0.0328929,0
140,0.551374,0.00400007,0.0695648,0.0694128,1.80092,0.140101,0.472988,0.0328608,0
160,0.63168,0.0040298,0.069321,0.069165,2.15149,0.139854,0.599062,0.0334047,0
180,0.712631,0.00406434,0.0690662,0.0689056,2.51846,0.139594,0.656891,0.0364535,0
200,0.794326,0.00410404,0.0687967,0.0686047,2.94415,0.139293,0.813725,0.0415948,0
220,0.876872,0.00414932,0.0684964,0.0682507,3.44497,0.138939,0.962968,0.0469871,0
240,0.960387,0.00420069,0.0681832,0.0678827,3.96564,0.138571,0.930437,0.0458068,0
260,1.045,0.00425877,0.0679342,0.0675842,4.38788,0.134673,0.953583,0.0445412,0
280,1.13085,0.0043243,0.067737,0.0674261,4.61151,0.124506,0.956063,0.041748,0
300,1.2181,0.00439819,0.0673739,0.067085,5.09419,0.11501,0.958078,0.0507316,0
320,1.30692,0.00448153,0.066725,0.0664062,6.05437,0.109696,0.966488,0.067445,0
340,1.39752,0.00457568,0.0658283,0.065376,7.51191,0.106783,0.963356,0.07415,0
360,1.49013,0.00468233,0.0647443,0.0640289,9.41759,0.105241,0.974375,0.076153,1
380,1.58502,0.00480361,0.063497,0.0621741,12.0417,0.104166,0.972784,0.0827737,0
400,1.68252,0.00494224,0.0621338,0.0606146,14.2478,0.103898,0.968356,0.0937826,2
420,1.783,0.00510176,0.0606116,0.0596191,15.6562,0.104417,0.982615,0.104121,0
440,1.88693,0.00528685,0.0588809,0.0580884,17.8218,0.104568,0.981896,0.109845,0
460,1.99489,0.00550387,0.0569368,0.0555804,21.3698,0.103845,0.993776,0.125377,0
480,2.1076,0.00576173,0.0546262,0.0523871,25.8874,0.102701,0.99404,0.135369,0
500,2.226,0.00607327,0.0519359,0.0496606,29.7446,0.102533,0.988056,0.151326,0
520,2.35136,0.00645792,0.0489789,0.0470685,33.4117,0.103212,0.994573,0.163333,0
540,2.48544,0.0069467,0.0458537,0.0432526,38.8101,0.103569,0.996646,0.173956,0
560,2.63084,0.00759289,0.0425859,0.0399445,43.4902,0.103887,0.998438,0.187993,1
580,2.79164,0.00849791,0.0390006,0.036347,48.5794,0.0993707,0.997699,0.206064,1
600,2.97506,0.00988661,0.0353458,0.0322931,54.3146,0.0913385,0.99084,0.212363,0
620,3.19627,0.012405,0.031775,0.029176,58.7244,0.086272,0.993712,0.231132,0
640,3.50204,0.0193697,0.0279344,0.0246368,65.146,0.0809589,0.996498,0.250222,0
660,4.38848,0.0276742,0.024354,0.0219495,68.9479,0.0784546,0.997185,0.266079,2
680,4.74782,0.0137464,0.0211945,0.0186945,73.5528,0.0761652,0.991608,0.282039,0
700,4.98383,0.0104774,0.0185064,0.0156696,77.8321,0.076015,0.996521,0.297343,1
720,5.17472,0.00884143,0.0162793,0.0140405,80.1367,0.0799207,0.989799,0.304037,0
740,5.34016,0.00782134,0.0142939,0.0127478,81.9655,0.0831567,0.9936,0.310047,0
760,5.48875,0.00711118,0.0124507,0.011507,83.721,0.0821954,0.980794,0.298623,0
