step,time,dt,area_heaviside,area_sharp,area_loss_pct,interface_error,grad_err_max_band,grad_err_mean_band,sign_guard_hits
0,0,0,0.0707861,0.0706592,0.0377091,2.92969e-05,0.000800318,0.000337827,0
20,0.0781717,0.00390968,0.0706474,0.0705225,0.231127,0.0400452,0.0449824,0.008325,0
40,0.156415,0.00391503,0.0704887,0.070365,0.453902,0.0787573,0.0554679,0.00807325,0
60,0.234805,0.00392413,0.070365,0.0702435,0.625733,0.113777,0.0602063,0.00810994,0
80,0.313417,0.00393706,0.0702394,0.0701044,0.822604,0.138414,0.0737745,0.00886666,0
100,0.392329,0.00395391,0.0701009,0.0699646,1.02034,0.140653,0.213974,0.00962353,0
120,0.47162,0.00397485,0.0699665,0.0698273,1.21462,0.140516,0.260188,0.00974251,0
140,0.551374,0.00400007,0.0698233,0.0697003,1.39422,0.140389,0.519681,0.01046,0
160,0.63168,0.0040298,0.0696421,0.0695129,1.65931,0.140201,0.660144,0.0120259,0
180,0.712631,0.00406434,0.0694413,0.0692999,1.96066,0.139988,0.71175,0.015884,0
200,0.794326,0.00410404,0.069223,0.0690808,2.27064,0.139769,0.872147,0.022008,0
220,0.876872,0.00414932,0.0689468,0.0687848,2.68943,0.139473,0.972524,0.0285227,0
240,0.960387,0.00420069,0.0686317,0.0684454,3.16952,0.139134,0.949189,0.0281385,0
260,1.045,0.00425877,0.0683596,0.0681348,3.60902,0.135162,0.964447,0.0269388,0
280,1.13085,0.0043243,0.0681597,0.0679767,3.83266,0.124949,0.954542,0.0244141,0
300,1.2181,0.00439819,0.0678899,0.0676971,4.22813,0.115506,0.926287,0.0292663,0
320,1.30692,0.00448153,0.0674391,0.0672656,4.83861,0.110438,0.921191,0.0393568,0
340,1.39752,0.00457568,0.0667494,0.0664301,6.0207,0.107757,0.984439,0.045973,0
360,1.49013,0.00468233,0.0657766,0.0652478,7.69324,0.106392,0.976097,0.0497661,0
380,1.58502,0.00480361,0.0646502,0.0639478,9.53243,0.105901,0.966323,0.055933,0
400,1.68252,0.00494224,0.063573,0.0627612,11.211,0.106025,0.97264,0.0579822,0
