step,time,dt,area_heaviside,area_sharp,area_loss_pct,interface_error,grad_err_max_band,grad_err_mean_band,sign_guard_hits
0,0,0,0.0707861,0.0706592,0.0377091,2.92969e-05,0.000800318,0.000337827,0
20,0.0781717,0.00390968,0.0706473,0.0705237,0.2294,0.0400476,0.0587382,0.0103554,0
40,0.156415,0.00391503,0.0704809,0.0703552,0.467718,0.0787598,0.0742087,0.0102066,0
60,0.234805,0.00392413,0.0703504,0.0702264,0.64991,0.113777,0.0773498,0.0100736,0
80,0.313417,0.00393706,0.070223,0.0700897,0.843327,0.138397,0.0854886,0.0107446,0
100,0.392329,0.00395391,0.0700835,0.0699463,1.04624,0.140635,0.210669,0.0116111,0
120,0.47162,0.00397485,0.0699511,0.0698126,1.23534,0.140501,0.264235,0.0117482,0
140,0.551374,0.00400007,0.069812,0.0696753,1.42962,0.140364,0.511768,0.0125372,0
160,0.63168,0.0040298,0.0696323,0.0695007,1.67658,0.140189,0.659101,0.0139828,0
180,0.712631,0.00406434,0.0694362,0.0692902,1.97447,0.139979,0.695531,0.0178085,0
200,0.794326,0.00410404,0.0692221,0.069068,2.28878,0.139756,0.861237,0.0239169,0
220,0.876872,0.00414932,0.0689497,0.0687756,2.70238,0.139464,0.97457,0.0302794,0
240,0.960387,0.00420069,0.0686382,0.0684503,3.16261,0.139139,0.954305,0.0298604,0
260,1.045,0.00425877,0.0683703,0.0681537,3.58226,0.135182,0.969956,0.0290846,0
280,1.13085,0.0043243,0.0681749,0.0679773,3.8318,0.124965,0.955981,0.0259118,0
300,1.2181,0.00439819,0.0679135,0.0677295,4.18237,0.115555,0.932398,0.0309334,0
320,1.30692,0.00448153,0.0674712,0.0672681,4.83515,0.110468,0.917227,0.0413125,0
340,1.39752,0.00457568,0.0668012,0.0664771,5.95421,0.107814,0.975667,0.0483198,0
360,1.49013,0.00468233,0.0658679,0.0653015,7.61726,0.106455,0.980956,0.0520095,0
380,1.58502,0.00480361,0.0647202,0.0639764,9.49185,0.105934,0.976461,0.0575016,0
400,1.68252,0.00494224,0.0635917,0.0627765,11.1894,0.106024,0.964368,0.0589301,0
420,1.783,0.00510176,0.0626485,0.0619733,12.3258,0.106806,0.955335,0.0656039,0
440,1.88693,0.00528685,0.0617768,0.0612964,13.2834,0.10771,0.976668,0.0674978,0
460,1.99489,0.00550387,0.0603797,0.0598895,15.2737,0.107983,0.981751,0.0798675,0
480,2.1076,0.00576173,0.0582687,0.0568707,19.5444,0.106605,0.98708,0.0894468,0
500,2.226,0.00607327,0.0561456,0.0541852,23.3437,0.105572,0.98901,0.0976926,4
520,2.35136,0.00645792,0.0540957,0.053103,24.8746,0.106274,0.990219,0.106173,0
540,2.48544,0.0069467,0.0516376,0.0508984,27.9934,0.10646,0.983563,0.104525,0
560,2.63084,0.00759289,0.0489123,0.0464172,34.333,0.103795,0.990886,0.114485,0
580,2.79164,0.00849791,0.0461417,0.0444635,37.097,0.101926,0.990564,0.129156,0
600,2.97506,0.00988661,0.0429471,0.0418237,40.8315,0.0990161,0.994075,0.13273,0
620,3.19627,0.012405,0.0398274,0.0372046,47.3663,0.0940381,0.996722,0.141492,2
640,3.50204,0.0193697,0.0365572,0.0351526,50.2693,0.0909729,0.980124,0.14924,0
660,4.38848,0.0276742,0.0331585,0.0310565,56.064,0.0867694,0.994451,0.158992,0
680,4.74782,0.0137464,0.0304074,0.028288,59.9807,0.0849152,0.979352,0.154293,0
700,4.98383,0.0104774,0.0280535,0.0267755,62.1204,0.0853241,0.99729,0.15336,0
720,5.17472,0.00884143,0.0260454,0.0254559,63.9872,0.0895697,0.965525,0.119301,2
740,5.34016,0.00782134,0.0242358,0.0238678,66.234,0.0935016,0.982012,0.106215,0
760,5.48875,0.00711118,0.0225325,0.0215552,69.5057,0.0922437,0.975297,0.0972454,0
780,5.62518,0.00658271,0.0211497,0.019751,72.0581,0.0904395,0.932242,0.0871984,0
800,5.75236,0.0061715,0.0201547,0.0191449,72.9155,0.0898334,0.954628,0.0784857,0
820,5.87221,0.0058412,0.0194014,0.0188696,73.3049,0.0895581,0.995145,0.0607405,0
840,5.9861,0.00556952,0.0188401,0.0186652,73.5942,0.0893536,0.567248,0.0315862,0
860,6.09503,0.00534196,0.0185158,0.0183655,74.0182,0.089054,0.549493,0.0188347,0
880,6.19979,0.00514864,0.0182169,0.0180774,74.4257,0.0887659,0.529411,0.0156101,0
900,6.30098,0.00498253,0.0179238,0.0177881,74.835,0.0837866,0.575045,0.0140372,0
920,6.39909,0.00483852,0.0177197,0.0175854,75.1217,0.0763489,0.593286,0.0126443,0
940,6.49451,0.00471278,0.0175394,0.0174091,75.3712,0.0686029,0.54538,0.0129782,0
960,6.58758,0.00460238,0.01729,0.0171497,75.7382,0.0610571,0.325644,0.0117468,0
980,6.67859,0.00450503,0.0170313,0.0168982,76.0939,0.0610791,0.305331,0.0123869,0
1000,6.76777,0.00441893,0.0168339,0.0167023,76.3711,0.0701959,0.24561,0.0119242,0
1020,6.85533,0.00434264,0.0166904,0.0165674,76.5619,0.0807751,0.300197,0.0113234,0
1040,6.94146,0.00427498,0.0164763,0.0163434,76.8788,0.0870319,0.232681,0.0113991,0
1060,7.02632,0.00421501,0.0162507,0.01612,77.1949,0.0868085,0.248898,0.0121732,0
1080,7.11005,0.00416194,0.0160627,0.0159283,77.466,0.0866168,0.218452,0.0124775,0
1100,7.19279,0.00411512,0.0159057,0.0157739,77.6845,0.0864624,0.321911,0.0132788,0
