step,time,dt,area_heaviside,area_sharp,area_loss_pct,interface_error,grad_err_max_band,grad_err_mean_band,sign_guard_hits
0,0,0,0.0707861,0.0706592,0.0377091,2.92969e-05,0.000800318,0.000337827,0
20,0.0781717,0.00390968,0.0706514,0.0705267,0.225082,0.040047,0.0620823,0.011691,0
40,0.156415,0.00391503,0.0704881,0.0703601,0.46081,0.078761,0.0777047,0.0115828,0
60,0.234805,0.00392413,0.0703588,0.0702325,0.641275,0.113776,0.0805471,0.0115357,0
80,0.313417,0.00393706,0.0702314,0.0701031,0.824331,0.138408,0.0890336,0.0123836,0
100,0.392329,0.00395391,0.0700925,0.0699579,1.02984,0.140646,0.212933,0.0132589,0
120,0.47162,0.00397485,0.0699611,0.0698254,1.21721,0.140514,0.266778,0.0134565,0
140,0.551374,0.00400007,0.0698241,0.0696869,1.41322,0.140375,0.511314,0.0142415,0
160,0.63168,0.0040298,0.0696471,0.0695123,1.66017,0.140201,0.663225,0.0155795,0
180,0.712631,0.00406434,0.0694528,0.0693103,1.94598,0.139999,0.700196,0.0192742,0
200,0.794326,0.00410404,0.0692402,0.0690814,2.26978,0.13977,0.85753,0.0253091,0
220,0.876872,0.00414932,0.0689703,0.0687988,2.66957,0.139487,0.974296,0.0314785,0
240,0.960387,0.00420069,0.0686625,0.0684741,3.12893,0.139163,0.956995,0.0310855,0
260,1.045,0.00425877,0.0683942,0.0681653,3.56585,0.135192,0.970636,0.030281,0
280,1.13085,0.0043243,0.0682016,0.0679968,3.80417,0.124976,0.955543,0.0271263,0
300,1.2181,0.00439819,0.0679393,0.0677502,4.15301,0.115575,0.93245,0.0317872,0
320,1.30692,0.00448153,0.0675002,0.0672955,4.7963,0.110497,0.91749,0.0424922,0
340,1.39752,0.00457568,0.0668221,0.0664911,5.93435,0.107827,0.974814,0.0493747,0
360,1.49013,0.00468233,0.0658881,0.0652838,7.6423,0.106435,0.97979,0.0560284,0
380,1.58502,0.00480361,0.0648069,0.06396,9.51516,0.105912,0.976538,0.0641806,0
400,1.68252,0.00494224,0.0638246,0.0627649,11.2058,0.106014,0.964995,0.0675011,0
420,1.783,0.00510176,0.06304,0.0619861,12.3076,0.106796,0.984398,0.0787283,0
440,1.88693,0.00528685,0.0621008,0.0613159,13.2557,0.107722,0.975454,0.0781466,0
460,1.99489,0.00550387,0.0606063,0.0598828,15.2832,0.10797,0.981218,0.0861466,0
480,2.1076,0.00576173,0.0584645,0.0566614,19.8405,0.106389,0.992685,0.099394,0
500,2.226,0.00607327,0.0567628,0.0541553,23.386,0.105541,0.988619,0.122796,0
520,2.35136,0.00645792,0.0550758,0.0531018,24.8763,0.106274,0.982874,0.131176,0
540,2.48544,0.0069467,0.0525887,0.0508734,28.0288,0.106463,0.982054,0.130457,0
560,2.63084,0.00759289,0.0493237,0.0461597,34.6974,0.103733,0.98962,0.139958,0
580,2.79164,0.00849791,0.0472132,0.0444336,37.1393,0.101895,0.997342,0.161015,0
600,2.97506,0.00988661,0.0440266,0.0416919,41.018,0.0989624,0.99759,0.159193,0
620,3.19627,0.012405,0.0406849,0.0371466,47.4483,0.0939764,0.997315,0.180515,0
640,3.50204,0.0193697,0.0377807,0.0350897,50.3582,0.0909039,0.998268,0.187485,0
660,4.38848,0.0276742,0.033964,0.0305798,56.7384,0.0862866,0.993784,0.196535,0
680,4.74782,0.0137464,0.0311412,0.0282153,60.0835,0.0848401,0.993431,0.205766,0
700,4.98383,0.0104774,0.0288222,0.0266968,62.2318,0.0852209,0.99718,0.193202,0
720,5.17472,0.00884143,0.0266972,0.0253503,64.1366,0.0894067,0.97991,0.160855,0
740,5.34016,0.00782134,0.0245175,0.023692,66.4827,0.0932819,0.989477,0.133617,0
760,5.48875,0.00711118,0.0222338,0.0210852,70.1705,0.0917737,0.963214,0.1012,0
780,5.62518,0.00658271,0.0209458,0.0195496,72.343,0.090238,0.967311,0.117137,0
800,5.75236,0.0061715,0.0201955,0.0190942,72.9872,0.0897827,0.966357,0.111641,0
820,5.87221,0.0058412,0.0194825,0.0188306,73.3602,0.089519,0.978187,0.074016,0
840,5.9861,0.00556952,0.0188586,0.0186176,73.6615,0.089306,0.895439,0.0410669,0
860,6.09503,0.00534196,0.0184838,0.018335,74.0613,0.0890234,0.589594,0.0196215,0
880,6.19979,0.00514864,0.0182003,0.0180524,74.4611,0.0887408,0.503871,0.0161332,0
900,6.30098,0.00498253,0.0179144,0.0177814,74.8445,0.0838629,0.548785,0.0159176,0
920,6.39909,0.00483852,0.017713,0.0175903,75.1148,0.0764453,0.563036,0.013151,0
940,6.49451,0.00471278,0.0175358,0.0173999,75.3842,0.0686914,0.530863,0.0156925,0
960,6.58758,0.00460238,0.0172887,0.0171503,75.7373,0.06112,0.321772,0.0124284,0
980,6.67859,0.00450503,0.0170312,0.0168994,76.0922,0.0610535,0.298916,0.0132703,0
1000,6.76777,0.00441893,0.0168352,0.0167072,76.3642,0.0701093,0.242497,0.0126817,0
1020,6.85533,0.00434264,0.0166946,0.0165643,76.5663,0.0806891,0.280344,0.0120035,0
1040,6.94146,0.00427498,0.0164827,0.0163458,76.8754,0.0870343,0.421214,0.0134305,0
1060,7.02632,0.00421501,0.016258,0.0161243,77.1888,0.0868127,0.246158,0.013067,0
1080,7.11005,0.00416194,0.0160718,0.015932,77.4608,0.0866205,0.213618,0.0134098,0
1100,7.19279,0.00411512,0.0159168,0.0157855,77.6681,0.086474,0.313079,0.014079,0
1120,7.27465,0.00407401,0.0157422,0.0156134,77.9116,0.0863019,0.148372,0.0122527,0
1140,7.35574,0.00403817,0.0155403,0.0153973,78.2172,0.0860858,0.177035,0.0114079,0
1160,7.43617,0.00400723,0.0153518,0.0152191,78.4694,0.0859076,0.172594,0.0121799,0
1180,7.51603,0.00398087,0.0151723,0.0150378,78.7258,0.0857263,0.180754,0.0125881,0
1200,7.59541,0.00395886,0.0150103,0.014873,78.9589,0.0855615,0.0891898,0.0108492,0
1220,7.6744,0.00394097,0.0148352,0.0147021,79.2007,0.0853906,0.0754297,0.00935194,0
1240,7.75306,0.00392706,0.0146824,0.0145453,79.4226,0.0847882,0.111224,0.009389,0
1260,7.83149,0.00391699,0.0145442,0.0144128,79.61,0.0751233,0.0805575,0.0102896,0
1280,7.90976,0.00391069,0.0143964,0.014267,79.8164,0.0625543,0.0747114,0.0105178,0
1300,7.98794,0.00390809,0.0142184,0.0140863,80.072,0.0570709,0.192189,0.0120652,0
1304,8,0.000336076,0.0141887,0.0140509,80.122,0.057912,0.119591,0.010259,0
