step,time,dt,area_heaviside,area_sharp,area_loss_pct,interface_error,grad_err_max_band,grad_err_mean_band,sign_guard_hits
0,0,0,0.0707861,0.0706592,0.0377091,2.92969e-05,0.000800318,0.000337827,0
20,0.0781717,0.00390968,0.0706473,0.0705237,0.2294,0.0400476,0.0587382,0.0103554,0
40,0.156415,0.00391503,0.0704809,0.0703552,0.467718,0.0787598,0.0742088,0.0102066,0
60,0.234805,0.00392413,0.0703504,0.0702264,0.64991,0.113777,0.0773499,0.0100736,0
80,0.313417,0.00393706,0.070223,0.0700897,0.843327,0.138397,0.0854887,0.0107446,0
100,0.392329,0.00395391,0.0700835,0.0699463,1.04624,0.140635,0.210669,0.011611,0
120,0.47162,0.00397485,0.0699511,0.0698126,1.23534,0.140501,0.264235,0.0117482,0
140,0.551374,0.00400007,0.069812,0.0696753,1.42962,0.140364,0.511757,0.0125371,0
160,0.63168,0.0040298,0.0696323,0.0695007,1.67658,0.140189,0.659086,0.013983,0
180,0.712631,0.00406434,0.0694361,0.0692902,1.97447,0.139979,0.695491,0.0178088,0
200,0.794326,0.00410404,0.0692221,0.069068,2.28878,0.139756,0.86123,0.0239192,0
220,0.876872,0.00414932,0.0689497,0.0687756,2.70238,0.139464,0.974568,0.0302831,0
240,0.960387,0.00420069,0.0686384,0.0684503,3.16261,0.139139,0.954307,0.0298845,0
260,1.045,0.00425877,0.0683708,0.0681531,3.58312,0.135182,0.969955,0.0291291,0
280,1.13085,0.0043243,0.0681756,0.0679773,3.8318,0.124965,0.955982,0.025937,0
300,1.2181,0.00439819,0.0679149,0.0677295,4.18237,0.115555,0.932395,0.0309482,0
320,1.30692,0.00448153,0.0674734,0.0672699,4.83256,0.110469,0.91722,0.0413565,0
340,1.39752,0.00457568,0.0668029,0.0664783,5.95248,0.107815,0.975648,0.0483648,0
360,1.49013,0.00468233,0.0658681,0.0652997,7.61985,0.106453,0.980977,0.0520525,0
380,1.58502,0.00480361,0.0647185,0.063974,9.49531,0.105932,0.976463,0.0575218,0
400,1.68252,0.00494224,0.0635856,0.0627734,11.1938,0.106021,0.964321,0.0588746,0
420,1.783,0.00510176,0.0626417,0.0619696,12.3309,0.106802,0.955291,0.0661392,0
440,1.88693,0.00528685,0.0617667,0.061297,13.2825,0.107711,0.976985,0.067417,0
460,1.99489,0.00550387,0.0603634,0.0598846,15.2806,0.107978,0.981716,0.0796729,0
480,2.1076,0.00576173,0.0582515,0.0568671,19.5496,0.106602,0.987079,0.0893444,0
500,2.226,0.00607327,0.0561273,0.0541791,23.3523,0.105568,0.988945,0.0975028,4
520,2.35136,0.00645792,0.0540748,0.0530975,24.8824,0.106273,0.993511,0.10637,0
540,2.48544,0.0069467,0.0516187,0.0508838,28.0142,0.106451,0.983492,0.104581,1
560,2.63084,0.00759289,0.0488895,0.0463898,34.3719,0.103784,0.990812,0.114494,0
580,2.79164,0.00849791,0.0461115,0.0444543,37.11,0.101921,0.990514,0.129028,0
600,2.97506,0.00988661,0.0429142,0.0418109,40.8497,0.0990009,0.994234,0.133157,0
620,3.19627,0.012405,0.0397946,0.0371899,47.387,0.0940234,0.997038,0.141352,3
640,3.50204,0.0193697,0.036521,0.0351404,50.2865,0.0909607,0.980294,0.149305,0
660,4.38848,0.0276742,0.0331098,0.0310205,56.115,0.0867334,0.994025,0.159025,0
680,4.74782,0.0137464,0.0303499,0.0282697,60.0066,0.0848993,0.981205,0.154329,0
700,4.98383,0.0104774,0.028,0.0267542,62.1506,0.0853064,0.997205,0.152587,0
720,5.17472,0.00884143,0.0259987,0.025423,64.0338,0.0895367,0.965903,0.119617,2
740,5.34016,0.00782134,0.024197,0.0238336,66.2823,0.0934674,0.981689,0.106265,0
760,5.48875,0.00711118,0.0224898,0.0214813,69.6101,0.0921698,0.975281,0.0972787,0
780,5.62518,0.00658271,0.021106,0.0196973,72.1341,0.0903857,0.928205,0.0876655,2
800,5.75236,0.0061715,0.0201106,0.0191101,72.9647,0.0897986,0.949478,0.0783526,0
820,5.87221,0.0058412,0.0193537,0.0188409,73.3455,0.0895294,0.995618,0.0607456,0
840,5.9861,0.00556952,0.018807,0.0186371,73.6339,0.0893256,0.564148,0.0313999,0
860,6.09503,0.00534196,0.0184846,0.0183289,74.07,0.0890173,0.545544,0.0187145,0
880,6.19979,0.00514864,0.0181863,0.018042,74.4758,0.0887305,0.524052,0.0155543,0
900,6.30098,0.00498253,0.0178934,0.0177643,74.8687,0.083797,0.569368,0.0139456,0
920,6.39909,0.00483852,0.0176891,0.0175555,75.164,0.0763702,0.585974,0.012679,0
940,6.49451,0.00471278,0.0175091,0.0173804,75.4118,0.0686292,0.54223,0.0128571,0
960,6.58758,0.00460238,0.0172598,0.0171094,75.7952,0.0610657,0.323452,0.0116681,0
980,6.67859,0.00450503,0.017001,0.0168726,76.1302,0.0610608,0.301026,0.012338,0
1000,6.76777,0.00441893,0.0168035,0.0166736,76.4117,0.0701794,0.242869,0.0118863,0
1020,6.85533,0.00434264,0.0166601,0.016535,76.6077,0.0807452,0.287115,0.0112706,0
1040,6.94146,0.00427498,0.0164463,0.0163098,76.9263,0.0869983,0.42503,0.0126855,0
1060,7.02632,0.00421501,0.0162207,0.0160944,77.2311,0.0867828,0.245212,0.0121404,0
1080,7.11005,0.00416194,0.0160325,0.0158948,77.5135,0.0865833,0.213599,0.0123833,0
1100,7.19279,0.00411512,0.0158754,0.0157446,77.7259,0.0864331,0.314457,0.0131881,0
