step,time,dt,area_heaviside,area_sharp,area_loss_pct,interface_error,grad_err_max_band,grad_err_mean_band,sign_guard_hits
0,0,0,0.0707861,0.0706592,0.0377091,2.92969e-05,0.000800318,0.000337827,0
20,0.0781717,0.00390968,0.0707081,0.0705798,0.14996,0.0400757,0.0084186,0.00179953,0
40,0.156415,0.00391503,0.0706245,0.0704926,0.273437,0.0788544,0.0130957,0.00191724,0
60,0.234805,0.00392413,0.0705278,0.0704034,0.399503,0.113941,0.0277463,0.0023485,0
80,0.313417,0.00393706,0.0703952,0.0702673,0.592057,0.13858,0.068588,0.00276168,0
100,0.392329,0.00395391,0.0702195,0.0700708,0.870095,0.140759,0.112087,0.00298111,0
120,0.47162,0.00397485,0.0700122,0.0698828,1.13604,0.140571,0.105527,0.00312129,0
140,0.551374,0.00400007,0.0697699,0.0696234,1.50302,0.140312,0.271666,0.00350455,0
160,0.63168,0.0040298,0.0694805,0.0693488,1.89158,0.140037,0.495111,0.00486395,0
180,0.712631,0.00406434,0.0691384,0.0689954,2.39153,0.139684,0.853361,0.00967564,0
200,0.794326,0.00410404,0.0687852,0.0686469,2.88457,0.139335,0.801959,0.012725,0
220,0.876872,0.00414932,0.0683925,0.0682526,3.44237,0.138941,0.889409,0.0178003,0
240,0.960387,0.00420069,0.0679627,0.0678394,4.02694,0.138528,0.965381,0.0193785,0
260,1.045,0.00425877,0.0675431,0.0674097,4.63483,0.135123,0.90366,0.0174556,0
280,1.13085,0.0043243,0.0671873,0.067052,5.14082,0.124967,0.964087,0.0151366,0
300,1.2181,0.00439819,0.0667632,0.0666254,5.74439,0.114439,0.895778,0.0166738,0
320,1.30692,0.00448153,0.0663192,0.066192,6.35745,0.109094,0.933057,0.0290039,0
340,1.39752,0.00457568,0.0658856,0.0657471,6.98692,0.106804,0.925775,0.0343501,0
360,1.49013,0.00468233,0.0654546,0.0653424,7.5594,0.106277,0.978807,0.0359983,0
380,1.58502,0.00480361,0.0649662,0.0648096,8.31321,0.106619,0.980613,0.0404263,0
400,1.68252,0.00494224,0.0644367,0.0642798,9.06271,0.107462,0.978368,0.0425643,0
420,1.783,0.00510176,0.0638952,0.0637408,9.82515,0.108504,0.98273,0.0516253,0
440,1.88693,0.00528685,0.0633668,0.0632062,10.5816,0.109645,0.98265,0.0555498,0
460,1.99489,0.00550387,0.0628702,0.0626971,11.3017,0.110771,0.989873,0.0618372,0
480,2.1076,0.00576173,0.0623248,0.0621448,12.0831,0.111796,0.978655,0.0646689,0
500,2.226,0.00607327,0.0617272,0.0615686,12.8982,0.112712,0.990863,0.0717735,0
520,2.35136,0.00645792,0.0611013,0.060946,13.779,0.113464,0.963292,0.0759967,0
540,2.48544,0.0069467,0.0603816,0.0601947,14.8419,0.114037,0.994325,0.0835489,0
560,2.63084,0.00759289,0.0595336,0.0592706,16.1492,0.114341,0.992788,0.0895037,0
580,2.79164,0.00849791,0.0584361,0.058075,17.8408,0.110537,0.989385,0.0934807,0
600,2.97506,0.00988661,0.0572824,0.0570416,19.3026,0.105583,0.986811,0.0963598,0
620,3.19627,0.012405,0.0562446,0.0560071,20.7662,0.10109,0.989275,0.10097,0
640,3.50204,0.0193697,0.0549356,0.0546313,22.7125,0.0996716,0.989498,0.106373,0
660,4.38848,0.0276742,0.0528737,0.0524896,25.7424,0.0981329,0.997713,0.109855,0
680,4.74782,0.0137464,0.0505658,0.0503333,28.793,0.0967651,0.992036,0.101087,0
700,4.98383,0.0104774,0.0495328,0.0493561,30.1754,0.100223,0.99264,0.0944127,0
720,5.17472,0.00884143,0.0486971,0.0485388,31.3316,0.104138,0.96855,0.084101,0
740,5.34016,0.00782134,0.0479256,0.0477887,32.3928,0.103568,0.985553,0.080912,0
760,5.48875,0.00711118,0.0472171,0.0470813,33.3936,0.101383,0.986662,0.068442,0
780,5.62518,0.00658271,0.0466073,0.0464642,34.2666,0.099245,0.988078,0.0585764,0
800,5.75236,0.0061715,0.0460186,0.045899,35.0661,0.0969611,0.997523,0.051146,0
820,5.87221,0.0058412,0.0454832,0.0453345,35.8648,0.0946301,0.973963,0.0440127,0
840,5.9861,0.00556952,0.0449945,0.0448682,36.5245,0.0924133,0.976328,0.0372801,0
860,6.09503,0.00534196,0.0445562,0.0444122,37.1695,0.0902496,0.962234,0.026515,0
880,6.19979,0.00514864,0.0440505,0.043924,37.8603,0.0881549,0.829254,0.0247776,0
900,6.30098,0.00498253,0.0435399,0.0434088,38.5891,0.086142,0.801783,0.0205019,0
920,6.39909,0.00483852,0.0430736,0.0429401,39.2522,0.0843097,0.750758,0.0146408,0
940,6.49451,0.00471278,0.0426279,0.0425018,39.8722,0.0829584,0.45319,0.00553668,0
960,6.58758,0.00460238,0.0422033,0.0420734,40.4784,0.082923,0.483031,0.00423203,0
980,6.67859,0.00450503,0.04181,0.0416907,41.0198,0.0913586,0.372841,0.00422478,0
1000,6.76777,0.00441893,0.0414465,0.0413129,41.5543,0.101629,0.56344,0.00459657,0
1020,6.85533,0.00434264,0.0411046,0.0409735,42.0343,0.110726,0.446968,0.00379873,0
1040,6.94146,0.00427498,0.0407249,0.040603,42.5585,0.111292,0.377273,0.00439432,0
1060,7.02632,0.00421501,0.0403658,0.0402246,43.0938,0.110913,0.357418,0.00382708,0
1080,7.11005,0.00416194,0.0400464,0.0399084,43.5411,0.110597,0.187891,0.00375693,0
1100,7.19279,0.00411512,0.0397183,0.039585,43.9987,0.110273,0.155002,0.0034755,0
1120,7.27465,0.00407401,0.0394028,0.0392621,44.4555,0.109951,0.171891,0.00401889,0
1140,7.35574,0.00403817,0.039116,0.0389832,44.8501,0.109672,0.221354,0.00475717,0
1160,7.43617,0.00400723,0.0388523,0.0387262,45.2136,0.109415,0.113517,0.00369016,0
1180,7.51603,0.00398087,0.0385626,0.0384314,45.6307,0.10912,0.175778,0.0035802,0
1200,7.59541,0.00395886,0.0382639,0.0381238,46.0659,0.108812,0.100439,0.0033234,0
1220,7.6744,0.00394097,0.0379784,0.0378473,46.457,0.10826,0.0691222,0.0036311,0
1240,7.75306,0.00392706,0.0377294,0.037597,46.8111,0.0938788,0.0860759,0.0038179,0
1260,7.83149,0.00391699,0.0375047,0.0373773,47.1219,0.0709979,0.0472032,0.00333025,0
1280,7.90976,0.00391069,0.0372698,0.0371436,47.4526,0.0484534,0.0315857,0.00295611,0
1300,7.98794,0.00390809,0.0370379,0.0369128,47.779,0.0352026,0.0258198,0.00235008,0
1304,8,0.000336076,0.0370017,0.0368701,47.8395,0.0376465,0.037283,0.0018063,0
