step,time,dt,area_heaviside,area_sharp,area_loss_pct,interface_error,grad_err_max_band,grad_err_mean_band,sign_guard_hits
0,0,0,0.070711,0.0706812,0.00662419,1.34277e-05,0.000184587,8.51469e-05,0
20,0.0390683,0.00195355,0.070699,0.0706641,0.0308014,0.0200967,0.00331202,0.000834831,0
40,0.0781456,0.00195422,0.0706869,0.0706554,0.0431058,0.040063,0.00353933,0.000849454,0
60,0.117241,0.00195535,0.0706746,0.0706425,0.0612387,0.0597182,0.00348468,0.000843689,0
80,0.156364,0.00195694,0.0706624,0.0706303,0.0785081,0.0788506,0.00417289,0.000870448,0
100,0.195524,0.001959,0.0706487,0.0706142,0.10139,0.0971327,0.00631671,0.000940092,0
120,0.23473,0.00196153,0.0706345,0.0705971,0.125567,0.113994,0.00832351,0.00102652,0
140,0.273991,0.00196454,0.0706176,0.0705882,0.138088,0.12847,0.0119324,0.00109432,0
160,0.313318,0.00196804,0.0705979,0.0705643,0.171979,0.138821,0.0176348,0.00115031,0
180,0.35272,0.00197202,0.070575,0.0705443,0.200258,0.141239,0.0255743,0.00120246,0
200,0.392206,0.00197651,0.0705487,0.0705191,0.235876,0.141214,0.0366451,0.00123571,0
220,0.431788,0.0019815,0.0705197,0.0704919,0.2743,0.141187,0.0486679,0.00126161,0
240,0.471475,0.00198702,0.0704881,0.0704512,0.331937,0.141146,0.0783224,0.00128731,0
260,0.511278,0.00199307,0.0704538,0.0704173,0.379859,0.141112,0.116145,0.00134667,0
280,0.551208,0.00199967,0.0704144,0.0703838,0.42735,0.141078,0.113323,0.001256,0
300,0.591276,0.00200684,0.0703707,0.0703383,0.491679,0.141033,0.178783,0.00132687,0
320,0.631493,0.00201458,0.0703226,0.0702837,0.56896,0.140978,0.249742,0.00135262,0
340,0.671871,0.00202293,0.0702706,0.0702356,0.636958,0.14093,0.232659,0.00141505,0
360,0.712423,0.0020319,0.070216,0.0701761,0.721146,0.140871,0.239168,0.00140875,0
380,0.753161,0.00204151,0.0701587,0.0701286,0.788281,0.140823,0.306673,0.00156733,0
400,0.794098,0.0020518,0.0700996,0.070063,0.881104,0.140758,0.589867,0.00166647,0
420,0.835248,0.00206278,0.0700357,0.0700047,0.963566,0.140699,0.525379,0.00227342,0
440,0.876625,0.00207449,0.0699658,0.0699358,1.06114,0.14063,0.518692,0.00232676,0
460,0.918245,0.00208696,0.0698932,0.0698627,1.16454,0.140557,0.637132,0.00394476,0
480,0.960122,0.00210023,0.0698167,0.0697804,1.28089,0.140475,0.777175,0.00230062,0
500,1.00227,0.00211434,0.0697395,0.069711,1.37911,0.139646,0.880174,0.00248123,0
520,1.04472,0.00212933,0.0696626,0.0696349,1.48683,0.1362,0.913169,0.00326967,0
540,1.08747,0.00214526,0.0695864,0.0695572,1.59671,0.131355,0.820124,0.00550254,0
560,1.13055,0.00216217,0.0695073,0.0694762,1.71133,0.125623,0.918493,0.00571135,0
580,1.17398,0.00218012,0.0694264,0.06939,1.8333,0.120435,0.849922,0.00546668,0
600,1.21778,0.00219919,0.0693542,0.0693198,1.9326,0.116615,0.90468,0.00536098,0
620,1.26197,0.00221944,0.0692806,0.0692487,2.03319,0.113856,0.915965,0.00532924,0
640,1.30659,0.00224095,0.0691944,0.0691562,2.16401,0.11192,0.960872,0.00449916,0
660,1.35164,0.00226381,0.0691132,0.069086,2.26331,0.110683,0.876517,0.00435661,0
680,1.39717,0.00228813,0.0690311,0.0689969,2.38937,0.109973,0.857559,0.00370269,0
700,1.4432,0.00231401,0.0689471,0.068922,2.49536,0.109701,0.905318,0.00313245,0
720,1.48977,0.00234157,0.0688632,0.0688358,2.61733,0.109738,0.847571,0.00221196,0
740,1.53691,0.00237097,0.0687761,0.0687459,2.74447,0.110012,0.693495,0.00193583,0
760,1.58465,0.00240236,0.0686888,0.0686606,2.86514,0.110454,0.710913,0.00158744,0
780,1.63305,0.00243592,0.0686024,0.0685706,2.99251,0.111001,0.651371,0.00157756,0
800,1.68214,0.00247186,0.0685181,0.0684911,3.10497,0.111654,0.610937,0.00329889,0
820,1.73198,0.0025104,0.0684356,0.0684041,3.22802,0.112349,0.701779,0.00469652,0
840,1.78262,0.00255184,0.0683545,0.0683191,3.34826,0.113079,0.677061,0.00740004,0
860,1.83412,0.00259647,0.0682691,0.0682303,3.47389,0.113824,0.893936,0.00843964,0
880,1.88654,0.00264466,0.0681807,0.0681461,3.59305,0.114569,0.898343,0.0129543,0
900,1.93998,0.00269685,0.0680859,0.0680461,3.73444,0.115318,0.95587,0.0159086,0
920,1.9945,0.00275354,0.0679882,0.0679559,3.86202,0.116043,0.989443,0.0158362,0
940,2.05021,0.00281534,0.0678876,0.0678505,4.01119,0.116752,0.942386,0.0162249,0
960,2.10722,0.00288296,0.0677869,0.0677489,4.15495,0.117447,0.990808,0.0159728,0
980,2.16565,0.00295729,0.0676874,0.0676585,4.28275,0.118133,0.986184,0.015642,0
1000,2.22564,0.00303941,0.0675861,0.0675514,4.43429,0.118781,0.980006,0.0146713,0
1020,2.28737,0.00313065,0.0674803,0.0674513,4.5759,0.119404,0.986846,0.014189,0
1040,2.35104,0.00323271,0.0673828,0.0673528,4.71535,0.120022,0.981743,0.0137556,0
1060,2.41688,0.00334776,0.067275,0.0672415,4.87271,0.120597,0.970165,0.0136116,0
1080,2.48518,0.0034786,0.0671676,0.0671338,5.02512,0.121147,0.970334,0.0148432,0
1100,2.55629,0.00362902,0.067072,0.0670325,5.16845,0.120235,0.967852,0.0136636,0
1120,2.63066,0.00380416,0.0669708,0.0669421,5.29625,0.118247,0.979416,0.0157552,0
1140,2.70886,0.00401132,0.0668724,0.0668417,5.43829,0.115992,0.983396,0.0178077,0
1160,2.79163,0.00426118,0.0667705,0.0667413,5.58033,0.113775,0.956712,0.0189525,0
1180,2.87998,0.0045702,0.0666688,0.0666367,5.72841,0.112381,0.973402,0.0210074,0
1200,2.97536,0.00496531,0.0665657,0.0665317,5.87693,0.11156,0.996817,0.0233938,0
1220,3.07994,0.00549442,0.066464,0.0664279,6.02372,0.111007,0.984185,0.0237297,0
1240,3.19729,0.00625345,0.0663625,0.066333,6.15799,0.110663,0.996177,0.0243303,0
1260,3.33406,0.00747324,0.0662617,0.0662291,6.305,0.110481,0.980609,0.024498,0
1280,3.50583,0.00993206,0.0661623,0.0661293,6.44617,0.110425,0.991747,0.0266426,0
1300,3.77998,0.0206952,0.0660557,0.0660199,6.60095,0.11046,0.995909,0.0254733,0
1320,4.47955,0.0106687,0.066088,0.0660539,6.55281,0.110352,0.987752,0.0258827,0
1340,4.65742,0.00773996,0.0659819,0.065947,6.70414,0.11019,0.991785,0.0240318,0
1360,4.79679,0.00639544,0.0658752,0.0658434,6.85071,0.110156,0.993254,0.0235374,0
1380,4.91561,0.00558406,0.0657719,0.0657367,7.0016,0.110292,0.986906,0.0225603,0
1400,5.02114,0.00502764,0.0656692,0.065631,7.1512,0.110608,0.997448,0.0218342,0
1420,5.11719,0.00461633,0.065571,0.0655408,7.27878,0.11128,0.989487,0.0202962,0
1440,5.20604,0.00429685,0.0654774,0.0654478,7.41024,0.113187,0.925392,0.0169133,0
1460,5.28919,0.00403981,0.0653862,0.0653586,7.53652,0.115381,0.964292,0.0156943,0
1480,5.36769,0.00382749,0.0652991,0.0652716,7.65957,0.117604,0.965205,0.0122074,0
1500,5.44231,0.00364849,0.0652058,0.0651689,7.80485,0.119211,0.871839,0.00970389,0
1520,5.51364,0.00349513,0.0651108,0.0650768,7.93523,0.119091,0.929832,0.00985588,0
1540,5.58211,0.00336196,0.0650147,0.064984,8.06648,0.118332,0.969158,0.0074536,0
1560,5.6481,0.00324507,0.0649213,0.0648909,8.19816,0.117546,0.988192,0.00704275,0
1580,5.71189,0.00314149,0.0648288,0.0648013,8.32487,0.116749,0.9438,0.00646757,0
1600,5.77373,0.003049,0.064741,0.0647096,8.45461,0.115922,0.974474,0.00727885,0
