step,time,dt,area_heaviside,area_sharp,area_loss_pct,interface_error,grad_err_max_band,grad_err_mean_band,sign_guard_hits
0,0,0,0.0707861,0.0706592,0.0377091,2.92969e-05,0.000800318,0.000337827,0
20,0.0781717,0.00390968,0.0707285,0.0706024,0.118012,0.0400543,0.0167633,0.00401539,0
40,0.156415,0.00391503,0.0706717,0.0705383,0.208676,0.078822,0.019449,0.00400644,0
60,0.234805,0.00392413,0.0706192,0.0705017,0.260485,0.113933,0.031901,0.00438369,0
80,0.313417,0.00393706,0.0705421,0.0704254,0.368418,0.138697,0.0601858,0.00483658,0
100,0.392329,0.00395391,0.0704383,0.0702911,0.558382,0.14098,0.208218,0.00541017,0
120,0.47162,0.00397485,0.0703218,0.0701923,0.698264,0.140881,0.251074,0.00554163,0
140,0.551374,0.00400007,0.0701848,0.0700409,0.912405,0.140729,0.532289,0.0062192,0
160,0.63168,0.0040298,0.069998,0.069884,1.13432,0.140573,0.630527,0.00763362,0
180,0.712631,0.00406434,0.0697677,0.0696313,1.49179,0.14032,0.729746,0.0113717,0
200,0.794326,0.00410404,0.0694898,0.069353,1.88554,0.140042,0.869508,0.0167181,0
220,0.876872,0.00414932,0.0691239,0.0689508,2.45456,0.139639,0.913801,0.0222808,0
240,0.960387,0.00420069,0.0687124,0.0685571,3.0115,0.139246,0.959899,0.0233999,0
260,1.045,0.00425877,0.068387,0.0681964,3.52181,0.135178,0.903938,0.0218478,0
280,1.13085,0.0043243,0.0681223,0.0679681,3.84475,0.124786,0.959255,0.019581,0
300,1.2181,0.00439819,0.0677225,0.0675562,4.42759,0.115082,0.937085,0.021464,0
320,1.30692,0.00448153,0.0670678,0.0668945,5.3636,0.109791,0.938504,0.0342935,0
340,1.39752,0.00457568,0.0660325,0.0656989,7.05514,0.106788,0.941531,0.0400352,0
360,1.49013,0.00468233,0.0646124,0.0643341,8.98586,0.105291,0.96521,0.0394078,0
380,1.58502,0.00480361,0.0633071,0.0629926,10.8838,0.104798,0.981804,0.0430996,0
400,1.68252,0.00494224,0.0621521,0.0617322,12.6668,0.104904,0.974642,0.0415358,0
420,1.783,0.00510176,0.0613059,0.0609625,13.7557,0.105721,0.987067,0.0521727,0
440,1.88693,0.00528685,0.0599684,0.0596783,15.5724,0.10611,0.976169,0.0553671,1
460,1.99489,0.00550387,0.0571771,0.0560254,20.7403,0.104163,0.968641,0.0645924,0
480,2.1076,0.00576173,0.0539102,0.0535706,24.2132,0.103405,0.97218,0.0623343,0
500,2.226,0.00607327,0.0525518,0.0522485,26.0834,0.103901,0.98932,0.0690114,1
520,2.35136,0.00645792,0.050358,0.0500214,29.2342,0.103934,0.993972,0.075578,0
540,2.48544,0.0069467,0.0461765,0.0449908,36.351,0.103126,0.986923,0.0872003,2
560,2.63084,0.00759289,0.0436325,0.0433063,38.7342,0.105449,0.989318,0.0809669,0
580,2.79164,0.00849791,0.0408265,0.0403619,42.8995,0.101878,0.98165,0.0935525,1
600,2.97506,0.00988661,0.0363753,0.0358411,49.2953,0.0945435,0.985499,0.098032,0
620,3.19627,0.012405,0.0340249,0.0337225,52.2924,0.0904279,0.993614,0.097246,0
640,3.50204,0.0193697,0.0299931,0.0286871,59.416,0.0844354,0.986504,0.11483,3
660,4.38848,0.0276742,0.0271792,0.0268811,61.971,0.0825391,0.985562,0.113452,1
680,4.74782,0.0137464,0.0246301,0.0242773,65.6546,0.0808167,0.958143,0.100258,1
700,4.98383,0.0104774,0.0218382,0.0210144,70.2707,0.0801501,0.990757,0.103341,0
720,5.17472,0.00884143,0.0191761,0.018634,73.6382,0.0834497,0.858906,0.0675605,1
740,5.34016,0.00782134,0.018366,0.0182196,74.2245,0.0884076,0.893035,0.0426449,0
760,5.48875,0.00711118,0.0179306,0.0177875,74.8359,0.088476,0.863846,0.0392883,0
780,5.62518,0.00658271,0.0174738,0.0173407,75.4679,0.0880292,0.843108,0.0280116,0
800,5.75236,0.0061715,0.0170901,0.0169574,76.0102,0.0876459,0.648541,0.0197317,0
820,5.87221,0.0058412,0.0167385,0.0166046,76.5093,0.0872931,0.587003,0.014197,0
840,5.9861,0.00556952,0.0164833,0.0163531,76.865,0.0870416,0.644638,0.0118559,0
860,6.09503,0.00534196,0.0162483,0.0161078,77.2121,0.0867963,0.435029,0.0108507,0
880,6.19979,0.00514864,0.0159576,0.0158234,77.6145,0.0865118,0.445858,0.0100524,0
900,6.30098,0.00498253,0.0156527,0.0155219,78.0411,0.0850641,0.491794,0.00914044,0
920,6.39909,0.00483852,0.015411,0.0152795,78.3839,0.0781189,0.312847,0.00966556,0
940,6.49451,0.00471278,0.0152417,0.0151111,78.6222,0.0703369,0.506188,0.00979699,0
960,6.58758,0.00460238,0.0150055,0.0148773,78.9529,0.0623724,0.421283,0.00796877,0
980,6.67859,0.00450503,0.0147452,0.0146118,79.3285,0.0590857,0.277524,0.00762273,0
1000,6.76777,0.00441893,0.0145293,0.0143951,79.635,0.0681891,0.293209,0.00811862,0
1020,6.85533,0.00434264,0.0143662,0.0142303,79.8682,0.0787653,0.171302,0.00684468,0
1040,6.94146,0.00427498,0.0141835,0.0140533,80.1186,0.0847418,0.296352,0.00815756,0
1060,7.02632,0.00421501,0.0139695,0.0138477,80.4096,0.0845361,0.16879,0.00737388,0
1080,7.11005,0.00416194,0.013775,0.0136444,80.6971,0.0843329,0.286149,0.00792072,0
1100,7.19279,0.00411512,0.0136054,0.0134741,80.938,0.0841626,0.157162,0.00727375,0
1120,7.27465,0.00407401,0.0134421,0.013316,81.1617,0.0840045,0.174309,0.00759614,0
1140,7.35574,0.00403817,0.0132467,0.0131226,81.4354,0.083811,0.0999305,0.00574908,0
