step,time,dt,area_heaviside,area_sharp,area_loss_pct,interface_error,grad_err_max_band,grad_err_mean_band,sign_guard_hits
0,0,0,591.369,581.6,0.104264,9.04,0.957318,0.0995357,0
20,40.7956,2.03978,616.811,625.84,-7.49441,721.04,0.965858,0.13821,0
40,81.5913,2.03978,633.123,647.24,-11.1701,930.28,0.849147,0.0907445,0
60,122.387,2.03978,645.028,645.92,-10.9434,1221.52,0.925815,0.0555574,0
80,163.183,2.03978,649.274,640.8,-10.0639,1228.72,0.0936673,0.00967773,0
100,203.978,2.03978,643.479,634.68,-9.01277,1222.6,0.0965426,0.00768826,0
120,244.774,2.03978,638.233,629.48,-8.11962,1217.4,0.0637298,0.00648851,0
140,285.569,2.03978,632.969,624.64,-7.2883,1212.56,0.0669846,0.00615801,0
160,326.365,2.03978,627.384,618.8,-6.28522,1206.72,0.0524754,0.00576684,0
180,367.161,2.03978,621.956,613.2,-5.32336,1201.12,0.0494979,0.00582697,0
200,407.956,2.03978,617.151,608.76,-4.56074,1196.68,0.0400318,0.00565626,0
220,448.752,2.03978,612.353,603.64,-3.68133,1191.56,0.0558023,0.00554465,0
240,489.548,2.03978,607.298,598.92,-2.87062,1186.84,0.0468567,0.00566411,0
260,530.343,2.03978,602.442,593.6,-1.95686,1041.36,0.0268748,0.00522263,0
280,571.139,2.03978,597.978,588.8,-1.13241,714.72,0.0412961,0.00525131,0
300,611.935,2.03978,593.449,585.04,-0.486591,340.64,0.0501112,0.00534884,0
308,628,1.78701,591.582,582.72,-0.0881077,215.52,0.0471473,0.00515136,0
