step,time,dt,area_heaviside,area_sharp,area_loss_pct,interface_error,grad_err_max_band,grad_err_mean_band,sign_guard_hits
0,0,0,585.817,581.8,0.0699117,1.14,0.683675,0.0414218,0
20,20.1918,1.00959,590.666,584.53,-0.398994,491.49,0.972395,0.149608,0
40,40.3836,1.00959,595.934,589.53,-1.25779,771.35,0.961922,0.199165,0
60,60.5753,1.00959,598.363,593,-1.8538,781.22,0.979918,0.237094,0
80,80.7671,1.00959,599.028,595.32,-2.25229,856.56,0.98978,0.264977,0
100,100.959,1.00959,599.831,597.68,-2.65764,1042.58,0.9693,0.2876,0
120,121.151,1.00959,602.031,601.7,-3.34812,1166.36,0.987101,0.311559,0
140,141.342,1.00959,605.644,608.26,-4.47486,1190.48,0.982618,0.332835,0
160,161.534,1.00959,609.538,616.98,-5.97261,1199.2,0.979421,0.354587,0
180,181.726,1.00959,612.224,625.46,-7.42914,1207.68,0.979205,0.372535,0
200,201.918,1.00959,613.04,630.26,-8.25359,1212.48,0.972196,0.387308,0
220,222.11,1.00959,612.32,632.35,-8.61257,1214.57,0.977844,0.397419,0
240,242.301,1.00959,610.857,632.16,-8.57993,1214.38,0.960353,0.40851,0
260,262.493,1.00959,609.464,631.44,-8.45627,1213.66,0.981023,0.418711,0
280,282.685,1.00959,608.549,630.07,-8.22095,1212.29,0.967353,0.431046,0
300,302.877,1.00959,608.05,628.93,-8.02515,1211.15,0.983572,0.442439,0
320,323.068,1.00959,607.51,627.31,-7.7469,1209.53,0.978936,0.45242,0
340,343.26,1.00959,606.325,624.94,-7.33982,1207.16,0.981714,0.460178,0
360,363.452,1.00959,604.361,622.02,-6.83828,1204.24,0.986034,0.468793,0
380,383.644,1.00959,601.82,618.82,-6.28865,1201.04,0.979347,0.476121,0
400,403.836,1.00959,599.094,615.45,-5.70982,1197.67,0.973829,0.484748,0
420,424.027,1.00959,596.476,611.92,-5.10351,1194.14,0.987809,0.49155,0
440,444.219,1.00959,594.008,608.83,-4.57277,1191.05,0.989491,0.501257,0
460,464.411,1.00959,591.725,605.54,-4.00768,1187.76,0.996387,0.506654,0
480,484.603,1.00959,589.426,602.77,-3.5319,1184.99,0.990835,0.513222,0
500,504.794,1.00959,586.862,599.63,-2.99257,1176.27,0.992956,0.521119,0
520,524.986,1.00959,583.978,596.33,-2.42576,1072.65,0.993457,0.524324,0
540,545.178,1.00959,580.87,592.88,-1.83319,904.5,0.989275,0.532744,0
560,565.37,1.00959,577.688,589.41,-1.23718,739.97,0.992188,0.537377,0
580,585.562,1.00959,574.566,585.97,-0.646328,640.23,0.99117,0.538881,0
600,605.753,1.00959,571.581,582.74,-0.0915429,427.02,0.987601,0.548257,0
620,625.945,1.00959,568.725,579.83,0.408279,216.87,0.97543,0.55508,0
623,628,0.0356843,568.445,579.56,0.454655,217.34,0.997695,0.554902,0
