step,time,dt,area_heaviside,area_sharp,area_loss_pct,interface_error,grad_err_max_band,grad_err_mean_band,sign_guard_hits
0,0,0,585.817,581.8,0.0699117,1.14,0.683675,0.0414218,0
20,20.1918,1.00959,582.448,578.06,0.712295,500.26,0.994256,0.127522,0
40,40.3836,1.00959,580.412,574.9,1.25506,785,0.988263,0.168188,0
60,60.5753,1.00959,579.907,573.93,1.42166,771.13,0.994081,0.196963,0
80,80.7671,1.00959,580.231,574.46,1.33063,831.12,0.993281,0.21375,0
100,100.959,1.00959,580.554,574.16,1.38216,1016.44,0.993779,0.227047,0
120,121.151,1.00959,580.507,573.86,1.43369,1137.3,0.992701,0.23801,0
140,141.342,1.00959,580.163,572.7,1.63293,1154.92,0.992099,0.24871,0
160,161.534,1.00959,579.755,571.5,1.83904,1153.72,0.997476,0.259602,0
180,181.726,1.00959,579.512,570.96,1.93179,1153.18,0.990816,0.270491,0
200,201.918,1.00959,579.656,570.47,2.01595,1152.69,0.997983,0.277415,0
220,222.11,1.00959,580.21,570.89,1.94382,1153.11,0.996343,0.284215,0
240,242.301,1.00959,581.005,571.54,1.83217,1153.76,0.992264,0.290858,0
260,262.493,1.00959,581.909,572.59,1.65182,1154.81,0.997648,0.295624,0
280,282.685,1.00959,582.819,573.22,1.54361,1155.44,0.990919,0.297266,0
300,302.877,1.00959,583.696,573.84,1.43712,1156.06,0.998114,0.297006,0
320,323.068,1.00959,584.446,574.08,1.3959,1156.3,0.988847,0.302233,0
340,343.26,1.00959,585.032,574.21,1.37357,1156.43,0.994994,0.30655,0
360,363.452,1.00959,585.66,574.47,1.32891,1156.69,0.996822,0.311711,0
380,383.644,1.00959,586.362,575.14,1.21383,1157.36,0.997682,0.314644,0
400,403.836,1.00959,587.2,575.9,1.0833,1158.12,0.9959,0.322075,0
420,424.027,1.00959,588.174,577.15,0.868597,1159.37,0.99218,0.323954,0
440,444.219,1.00959,589.302,577.73,0.768976,1159.95,0.997749,0.322331,0
460,464.411,1.00959,590.462,578.69,0.604086,1160.91,0.995527,0.321823,0
480,484.603,1.00959,591.495,579.57,0.452937,1161.79,0.996323,0.323183,0
500,504.794,1.00959,592.254,580.08,0.365339,1146.24,0.997599,0.324025,0
520,524.986,1.00959,592.925,580.39,0.312094,1030.17,0.995094,0.330731,0
540,545.178,1.00959,593.606,581.19,0.174685,850.73,0.997763,0.333584,0
560,565.37,1.00959,594.367,581.69,0.0888053,789.47,0.997333,0.335638,0
580,585.562,1.00959,595.324,582.65,-0.0760845,804.43,0.995653,0.334945,0
600,605.753,1.00959,596.532,583.63,-0.24441,515.75,0.997592,0.335741,0
620,625.945,1.00959,597.713,583.97,-0.302808,57.21,0.987102,0.33674,0
623,628,0.0356843,597.836,585.01,-0.481439,43.97,0.997105,0.333962,0
