step,time,dt,area_heaviside,area_sharp,area_loss_pct,interface_error,grad_err_max_band,grad_err_mean_band,sign_guard_hits
0,0,0,585.817,581.8,0.0699117,1.14,0.683675,0.0414218,0
20,20.1918,1.00959,587.875,583.2,-0.170553,492.9,0.891069,0.055389,0
40,40.3836,1.00959,589.735,585.08,-0.493462,776.32,0.925856,0.0614901,1
60,60.5753,1.00959,591.118,586.85,-0.797477,781.45,0.894921,0.0592466,0
80,80.7671,1.00959,592.118,588.5,-1.08088,848,0.909863,0.0525775,0
100,100.959,1.00959,593.47,590.55,-1.43299,1033.73,0.871284,0.0458386,0
120,121.151,1.00959,595.935,593.15,-1.87957,1156.67,0.892912,0.0519423,0
140,141.342,1.00959,599.756,597.04,-2.54771,1179.26,0.875055,0.0595089,0
160,161.534,1.00959,604.423,602.09,-3.4151,1184.31,0.855569,0.0625713,0
180,181.726,1.00959,609.271,607.37,-4.322,1189.59,0.850183,0.0618395,0
200,201.918,1.00959,613.303,611.95,-5.10866,1194.17,0.854254,0.0561258,0
220,222.11,1.00959,616.116,614.65,-5.57241,1196.87,0.825109,0.0510959,0
240,242.301,1.00959,618.305,616.83,-5.94685,1199.05,0.811643,0.0477779,0
260,262.493,1.00959,620.717,619.29,-6.36938,1201.51,0.818275,0.0449141,0
280,282.685,1.00959,623.697,622.61,-6.93962,1204.83,0.781305,0.0441751,0
300,302.877,1.00959,626.92,626.05,-7.53048,1208.27,0.758279,0.0467084,0
320,323.068,1.00959,629.88,628.79,-8.0011,1211.01,0.698901,0.0412192,0
340,343.26,1.00959,632.101,631.02,-8.38413,1213.24,0.725561,0.0354938,0
360,363.452,1.00959,633.458,631.89,-8.53356,1214.11,0.730438,0.0311061,0
380,383.644,1.00959,634.177,632.49,-8.63661,1214.71,0.669959,0.0264512,0
400,403.836,1.00959,634.681,633.14,-8.74826,1215.36,0.658655,0.0231719,0
420,424.027,1.00959,635.298,633.7,-8.84444,1215.92,0.588077,0.0211781,0
440,444.219,1.00959,635.957,634.15,-8.92174,1216.37,0.478443,0.0190431,0
460,464.411,1.00959,636.451,634.66,-9.00933,1216.88,0.419239,0.01751,0
480,484.603,1.00959,636.679,634.84,-9.04025,1217.06,0.418842,0.0158048,0
500,504.794,1.00959,636.686,634.77,-9.02823,1206.45,0.329363,0.0131373,0
520,524.986,1.00959,636.444,634.35,-8.95609,1097.87,0.271414,0.00986389,0
540,545.178,1.00959,636.064,633.79,-8.8599,927.87,0.236433,0.00813535,0
560,565.37,1.00959,635.652,633.44,-8.79979,786.56,0.184389,0.00713786,0
580,585.562,1.00959,635.235,633.09,-8.73967,685.99,0.169236,0.00667168,0
600,605.753,1.00959,634.777,632.72,-8.67612,435.42,0.117338,0.00667275,0
620,625.945,1.00959,634.249,632.18,-8.58337,152.36,0.0940681,0.00660782,0
623,628,0.0356843,634.182,632.13,-8.57478,139.87,0.110801,0.00749552,0
