step,time,dt,area_heaviside,area_sharp,area_loss_pct,interface_error,grad_err_max_band,grad_err_mean_band,sign_guard_hits
0,0,0,585.82,581.82,0.0664765,1.12,0.686117,0.0429283,0
20,20.1918,1.00959,585.863,582.81,-0.103566,494.37,0.700755,0.0300268,0
40,40.3836,1.00959,585.292,583.09,-0.151659,778.89,0.389434,0.0175607,0
60,60.5753,1.00959,585.409,583.02,-0.139636,779.2,0.575563,0.012521,0
80,80.7671,1.00959,585.749,583.53,-0.227233,842.53,0.393306,0.0100485,0
100,100.959,1.00959,586.227,584.03,-0.313114,1027.03,0.593099,0.0140729,0
120,121.151,1.00959,586.838,584.64,-0.417887,1148.14,0.391737,0.0145095,0
140,141.342,1.00959,587.544,585.27,-0.526096,1167.49,0.438577,0.0143908,0
160,161.534,1.00959,588.167,586.16,-0.678963,1168.38,0.501317,0.0181373,0
180,181.726,1.00959,588.751,586.74,-0.778584,1168.96,0.567165,0.0149518,0
200,201.918,1.00959,589.375,587.14,-0.847288,1169.36,0.385494,0.0114135,0
220,222.11,1.00959,589.981,587.97,-0.989849,1170.19,0.587993,0.0103876,0
240,242.301,1.00959,590.58,588.51,-1.0826,1170.73,0.569052,0.00986357,0
260,262.493,1.00959,591.202,589,-1.16676,1171.22,0.356972,0.0113322,0
280,282.685,1.00959,591.831,589.83,-1.30932,1172.05,0.436619,0.0138887,0
300,302.877,1.00959,592.441,590.36,-1.40036,1172.58,0.482814,0.0152199,0
320,323.068,1.00959,592.925,590.76,-1.46906,1172.98,0.567339,0.0148499,0
340,343.26,1.00959,593.43,591.33,-1.56696,1173.55,0.48494,0.0130344,0
360,363.452,1.00959,593.951,591.79,-1.64597,1174.01,0.562068,0.0119833,0
380,383.644,1.00959,594.466,592.26,-1.7267,1174.48,0.654269,0.00925375,0
400,403.836,1.00959,594.981,592.93,-1.84178,1175.15,0.362856,0.00861055,0
420,424.027,1.00959,595.49,593.39,-1.92079,1175.61,0.531357,0.0109599,0
440,444.219,1.00959,595.977,593.89,-2.00667,1176.11,0.476785,0.0114322,0
460,464.411,1.00959,596.392,594.42,-2.0977,1176.64,0.345615,0.0090398,0
480,484.603,1.00959,596.73,594.55,-2.12003,1176.77,0.526731,0.0126742,0
500,504.794,1.00959,597.086,595,-2.19732,1166.56,0.337038,0.00988359,0
520,524.986,1.00959,597.476,595.41,-2.26774,1058.65,0.452209,0.0101992,0
540,545.178,1.00959,597.858,595.78,-2.3313,889.4,0.518849,0.0103352,0
560,565.37,1.00959,598.241,596.15,-2.39485,790.43,0.55828,0.00829132,0
580,585.562,1.00959,598.623,596.5,-2.45496,725.18,0.513547,0.0100467,0
600,605.753,1.00959,598.953,596.97,-2.53569,461.37,0.366704,0.00931692,0
620,625.945,1.00959,599.212,597.08,-2.55458,121.92,0.433699,0.00823005,0
623,628,0.0356843,599.218,597.22,-2.57863,106.72,0.541533,0.0116397,0
