step,time,dt,area_heaviside,area_sharp,area_loss_pct,interface_error,grad_err_max_band,grad_err_mean_band,sign_guard_hits
0,0,0,585.818,581.8,0.0699117,1.14,0.683675,0.0414201,0
20,20.1918,1.00959,586.111,582.57,-0.0623437,494.21,0.815171,0.0320977,0
40,40.3836,1.00959,585.388,583.05,-0.144789,778.85,0.384905,0.0196539,0
60,60.5753,1.00959,585.401,582.92,-0.12246,779.2,0.569895,0.0133008,0
80,80.7671,1.00959,585.675,583.46,-0.21521,842.52,0.399597,0.0106378,0
100,100.959,1.00959,586.135,583.95,-0.299373,1026.97,0.586162,0.0145539,0
120,121.151,1.00959,586.731,584.55,-0.402429,1148.05,0.392786,0.0148007,0
140,141.342,1.00959,587.456,585.16,-0.507203,1167.38,0.437895,0.015072,0
160,161.534,1.00959,588.129,586.08,-0.665222,1168.3,0.502294,0.0187673,0
180,181.726,1.00959,588.753,586.72,-0.775149,1168.94,0.553309,0.0154826,0
200,201.918,1.00959,589.389,587.17,-0.852441,1169.39,0.375735,0.0118269,0
220,222.11,1.00959,589.995,588.01,-0.996719,1170.23,0.584685,0.0107576,0
240,242.301,1.00959,590.593,588.46,-1.07401,1170.68,0.561469,0.010218,0
260,262.493,1.00959,591.214,589,-1.16676,1171.22,0.351614,0.0117231,0
280,282.685,1.00959,591.844,589.77,-1.29902,1171.99,0.438358,0.0143996,0
300,302.877,1.00959,592.471,590.46,-1.41753,1172.68,0.56802,0.0168914,0
320,323.068,1.00959,593.001,590.94,-1.49998,1173.16,0.538454,0.0154681,0
340,343.26,1.00959,593.528,591.38,-1.57555,1173.6,0.485541,0.0134324,0
360,363.452,1.00959,594.049,591.91,-1.66658,1174.13,0.558886,0.0123477,0
380,383.644,1.00959,594.552,592.42,-1.75418,1174.64,0.643251,0.00959101,0
400,403.836,1.00959,595.058,592.9,-1.83663,1175.12,0.363177,0.00897329,0
420,424.027,1.00959,595.566,593.37,-1.91735,1175.59,0.516936,0.011341,0
440,444.219,1.00959,596.057,594.04,-2.03243,1176.26,0.583226,0.0131273,0
460,464.411,1.00959,596.49,594.46,-2.10457,1176.68,0.337756,0.0095378,0
480,484.603,1.00959,596.857,594.59,-2.1269,1176.81,0.512672,0.0131257,0
500,504.794,1.00959,597.227,595.06,-2.20763,1166.66,0.33689,0.0103044,0
520,524.986,1.00959,597.607,595.54,-2.29007,1058.82,0.454329,0.0105351,0
540,545.178,1.00959,597.978,595.81,-2.33645,889.53,0.515449,0.0106526,0
560,565.37,1.00959,598.353,596.31,-2.42233,790.33,0.54355,0.00862481,0
580,585.562,1.00959,598.731,596.64,-2.47901,724.94,0.500082,0.0104136,0
600,605.753,1.00959,599.063,597.05,-2.54943,461.25,0.363408,0.00967707,0
620,625.945,1.00959,599.33,597.3,-2.59237,122.18,0.409383,0.0086979,0
623,628,0.0356843,599.339,597.27,-2.58722,106.97,0.53818,0.0120364,0
