step,time,dt,area_heaviside,area_sharp,area_loss_pct,interface_error,grad_err_max_band,grad_err_mean_band,sign_guard_hits
0,0,0,585.953,581.96,0.04243,4.54,0.621001,0.0579755,0
20,20.1918,1.00959,586.825,583.69,-0.254715,493.11,0.749709,0.0351437,0
40,40.3836,1.00959,586.587,584.32,-0.362924,778.14,0.397364,0.0187979,0
60,60.5753,1.00959,586.756,584.35,-0.368077,780.15,0.578895,0.014578,0
80,80.7671,1.00959,587.085,584.87,-0.457392,843.95,0.4132,0.0116977,0
100,100.959,1.00959,587.584,585.42,-0.55186,1028.46,0.565286,0.0142663,0
120,121.151,1.00959,588.251,586.03,-0.656634,1149.53,0.5093,0.0176116,0
140,141.342,1.00959,589.054,586.85,-0.797477,1169.07,0.535841,0.0175095,0
160,161.534,1.00959,589.786,587.86,-0.970955,1170.08,0.566602,0.021339,0
180,181.726,1.00959,590.471,588.38,-1.06027,1170.6,0.520287,0.0167707,0
200,201.918,1.00959,591.144,588.95,-1.15817,1171.17,0.356992,0.0121743,0
220,222.11,1.00959,591.774,589.79,-1.30245,1172.01,0.556319,0.0116695,0
240,242.301,1.00959,592.407,590.28,-1.38661,1172.5,0.522931,0.0122208,0
260,262.493,1.00959,593.058,590.87,-1.48795,1173.09,0.327637,0.0120251,0
280,282.685,1.00959,593.732,591.64,-1.62021,1173.86,0.715917,0.0160742,0
300,302.877,1.00959,594.422,592.42,-1.75418,1174.64,0.536587,0.0170124,0
320,323.068,1.00959,594.99,592.83,-1.8246,1175.05,0.581223,0.0164967,0
340,343.26,1.00959,595.553,593.47,-1.93453,1175.69,0.487959,0.0136772,0
360,363.452,1.00959,596.084,593.96,-2.01869,1176.18,0.517987,0.0123798,0
380,383.644,1.00959,596.585,594.47,-2.10629,1176.69,0.571285,0.0103129,0
400,403.836,1.00959,597.093,594.99,-2.19561,1177.21,0.652717,0.0113526,0
420,424.027,1.00959,597.608,595.36,-2.25916,1177.58,0.461944,0.0120678,0
440,444.219,1.00959,598.098,595.95,-2.3605,1178.17,0.469276,0.0132148,0
460,464.411,1.00959,598.55,596.4,-2.43779,1178.62,0.513608,0.0105989,0
480,484.603,1.00959,598.909,596.7,-2.48932,1178.92,0.490187,0.01284,0
500,504.794,1.00959,599.282,597.23,-2.58035,1168.83,0.592875,0.0115519,0
520,524.986,1.00959,599.646,597.56,-2.63703,1060.78,0.609738,0.0115723,0
540,545.178,1.00959,599.998,597.83,-2.6834,891.37,0.470208,0.0104046,0
560,565.37,1.00959,600.364,598.17,-2.7418,790.35,0.615318,0.011742,0
580,585.562,1.00959,600.719,598.58,-2.81222,722.94,0.404294,0.0101194,0
600,605.753,1.00959,601.032,599.03,-2.88952,459.41,0.465726,0.0104382,0
620,625.945,1.00959,601.274,599.21,-2.92043,123.85,0.306427,0.00853,0
623,628,0.0356843,601.282,599.28,-2.93246,108.94,0.556399,0.0127728,0
