step,time,dt,area_heaviside,area_sharp,area_loss_pct,interface_error,grad_err_max_band,grad_err_mean_band,sign_guard_hits
0,0,0,585.818,581.8,0.0699117,1.14,0.683675,0.0414124,0
20,20.1918,1.00959,586.095,582.57,-0.0623437,494.19,0.813868,0.0320817,0
40,40.3836,1.00959,585.343,583.04,-0.143071,778.84,0.381431,0.0197903,0
60,60.5753,1.00959,585.367,582.87,-0.113872,779.15,0.569904,0.0132915,0
80,80.7671,1.00959,585.647,583.41,-0.206622,842.47,0.39965,0.0106177,0
100,100.959,1.00959,586.111,583.9,-0.290785,1026.92,0.58599,0.0145591,0
120,121.151,1.00959,586.709,584.52,-0.397276,1148.02,0.392878,0.0147962,0
140,141.342,1.00959,587.434,585.15,-0.505485,1167.37,0.437845,0.0150852,0
160,161.534,1.00959,588.109,586.08,-0.665222,1168.3,0.50235,0.0187753,0
180,181.726,1.00959,588.736,586.68,-0.768278,1168.9,0.552931,0.0154803,0
200,201.918,1.00959,589.375,587.18,-0.854158,1169.4,0.375677,0.0118055,0
220,222.11,1.00959,589.983,588,-0.995002,1170.22,0.584152,0.0107529,0
240,242.301,1.00959,590.582,588.48,-1.07745,1170.7,0.560752,0.0102167,0
260,262.493,1.00959,591.204,589,-1.16676,1171.22,0.350988,0.0117191,0
280,282.685,1.00959,591.836,589.77,-1.29902,1171.99,0.438594,0.014397,0
300,302.877,1.00959,592.467,590.46,-1.41753,1172.68,0.567647,0.0168829,0
320,323.068,1.00959,592.999,590.97,-1.50513,1173.19,0.537269,0.0154608,0
340,343.26,1.00959,593.528,591.41,-1.5807,1173.63,0.48552,0.0134515,0
360,363.452,1.00959,594.05,591.92,-1.6683,1174.14,0.558267,0.0123686,0
380,383.644,1.00959,594.554,592.4,-1.75075,1174.62,0.642155,0.00959951,0
400,403.836,1.00959,595.06,592.89,-1.83491,1175.11,0.362366,0.00896864,0
420,424.027,1.00959,595.568,593.37,-1.91735,1175.59,0.515448,0.0113374,0
440,444.219,1.00959,596.06,594.03,-2.03072,1176.25,0.581505,0.0131163,0
460,464.411,1.00959,596.495,594.5,-2.11144,1176.72,0.336968,0.00954032,0
480,484.603,1.00959,596.863,594.59,-2.1269,1176.81,0.512255,0.013115,0
500,504.794,1.00959,597.234,595.03,-2.20248,1166.63,0.336715,0.0102979,0
520,524.986,1.00959,597.615,595.53,-2.28836,1058.83,0.454238,0.0105249,0
540,545.178,1.00959,597.985,595.84,-2.3416,889.58,0.514718,0.0106697,0
560,565.37,1.00959,598.361,596.26,-2.41374,790.36,0.541873,0.00861938,0
580,585.562,1.00959,598.739,596.65,-2.48073,724.89,0.498435,0.0104003,0
600,605.753,1.00959,599.071,597.06,-2.55115,461.22,0.362916,0.00966763,0
620,625.945,1.00959,599.338,597.31,-2.59409,122.19,0.407377,0.00868991,0
623,628,0.0356843,599.347,597.25,-2.58378,107.03,0.537906,0.0120224,0
