step,time,dt,area_heaviside,area_sharp,area_loss_pct,interface_error,grad_err_max_band,grad_err_mean_band,sign_guard_hits
0,0,0,583.989,581.74,0.0802173,1.6,0.5,0.0181184,0
20,20.1918,1.00959,583.028,580.87,0.229649,489.93,0.466292,0.0160845,0
40,40.3836,1.00959,582.791,580.71,0.25713,774.03,0.397012,0.0118745,0
60,60.5753,1.00959,582.84,580.81,0.239954,782.13,0.55263,0.00919952,0
80,80.7671,1.00959,583.109,581.07,0.195297,844.59,0.347345,0.00687816,0
100,100.959,1.00959,583.408,581.28,0.159227,1026.3,0.270435,0.00787606,0
120,121.151,1.00959,583.598,581.45,0.130028,1145.71,0.437054,0.0110767,0
140,141.342,1.00959,583.689,581.49,0.123157,1163.71,0.580971,0.0126224,0
160,161.534,1.00959,583.608,581.41,0.136898,1163.63,0.481709,0.014036,0
180,181.726,1.00959,583.836,581.69,0.0888053,1163.91,0.4071,0.00926422,0
200,201.918,1.00959,584.01,581.73,0.0819349,1163.95,0.526666,0.00822765,0
220,222.11,1.00959,584.29,582.22,-0.00222763,1164.44,0.430819,0.00778939,0
240,242.301,1.00959,584.643,582.29,-0.0142508,1164.51,0.472475,0.00703632,0
260,262.493,1.00959,585.031,582.83,-0.107001,1165.05,0.479266,0.00705093,0
280,282.685,1.00959,585.333,583.16,-0.163682,1165.38,0.471181,0.00809671,0
300,302.877,1.00959,585.351,583.13,-0.158529,1165.35,0.367858,0.00642601,0
320,323.068,1.00959,585.29,583.03,-0.141353,1165.25,0.40275,0.00854523,0
340,343.26,1.00959,585.12,583.04,-0.143071,1165.26,0.390519,0.00667327,0
360,363.452,1.00959,585.029,582.77,-0.0966957,1164.99,0.267084,0.00539656,0
380,383.644,1.00959,584.71,582.67,-0.0795197,1164.89,0.311677,0.00554105,0
400,403.836,1.00959,584.399,582.3,-0.0159684,1164.52,0.341775,0.00534685,0
420,424.027,1.00959,583.867,581.73,0.0819349,1163.95,0.162505,0.00439218,0
440,444.219,1.00959,583.282,581.27,0.160945,1163.49,0.20481,0.00455503,0
460,464.411,1.00959,582.598,580.46,0.30007,1162.68,0.125405,0.00412413,0
480,484.603,1.00959,581.483,579.29,0.50103,1161.51,0.167987,0.0040513,0
500,504.794,1.00959,580.236,578.01,0.720883,1154.77,0.111083,0.00361004,0
520,524.986,1.00959,578.967,576.63,0.957912,1059.57,0.06955,0.00320111,0
540,545.178,1.00959,577.639,575.56,1.1417,909.1,0.0792881,0.00308033,0
560,565.37,1.00959,576.218,574.07,1.39762,765.89,0.0474336,0.00267848,0
580,585.562,1.00959,574.694,572.63,1.64495,669.17,0.04228,0.00267406,0
600,605.753,1.00959,573.034,570.91,1.94038,437.53,0.0359412,0.00250062,0
620,625.945,1.00959,571.405,569.29,2.21863,186.61,0.0256793,0.00225218,0
623,628,0.0356843,571.213,569.08,2.2547,184.54,0.0335472,0.0021452,0
