step,time,dt,area_heaviside,area_sharp,area_loss_pct,interface_error,grad_err_max_band,grad_err_mean_band,sign_guard_hits
0,0,0,582.793,582.38,-0.0297093,0.71,0.382122,0.00405265,0
20,10.0452,0.502258,582.723,582.2,0.00120758,259.71,0.273297,0.00201862,0
40,20.0903,0.502258,582.549,582.043,0.0282598,492.812,0.228702,0.00176468,0
60,30.1355,0.502258,582.365,581.773,0.0746351,659.423,0.092342,0.001547,0
80,40.1806,0.502258,582.186,581.69,0.0888053,777.34,0.103937,0.00140545,0
100,50.2258,0.502258,582.023,581.51,0.119722,818.415,0.0645129,0.00127951,0
120,60.2709,0.502258,581.915,581.362,0.145057,777.497,0.0811388,0.00132727,0
140,70.3161,0.502258,581.838,581.295,0.156651,769.555,0.0591524,0.00134959,0
160,80.3612,0.502258,581.762,581.207,0.17168,835.227,0.0608436,0.00127877,0
180,90.4064,0.502258,581.714,581.175,0.177262,933.985,0.0517581,0.00126882,0
200,100.452,0.502258,581.687,581.14,0.183273,1019.74,0.0463952,0.0011576,0
220,110.497,0.502258,581.684,581.143,0.182844,1090.31,0.0657707,0.00121797,0
240,120.542,0.502258,581.691,581.15,0.181556,1142.17,0.0587242,0.00122974,0
260,130.587,0.502258,581.702,581.17,0.178121,1163.49,0.0472804,0.00109865,0
280,140.632,0.502258,581.671,581.13,0.184991,1163.45,0.049181,0.00118396,0
300,150.677,0.502258,581.649,581.115,0.187567,1163.43,0.0502036,0.00110071,0
320,160.722,0.502258,581.601,581.055,0.197873,1163.38,0.0689526,0.00117847,0
340,170.768,0.502258,581.572,581.04,0.200449,1163.36,0.0517271,0.00117831,0
360,180.813,0.502258,581.564,581.005,0.206461,1163.33,0.0626175,0.00119884,0
380,190.858,0.502258,581.578,581.055,0.197873,1163.38,0.0588749,0.00119335,0
400,200.903,0.502258,581.618,581.095,0.191003,1163.41,0.0558837,0.0011468,0
420,210.948,0.502258,581.674,581.107,0.188856,1163.43,0.0674117,0.00116638,0
440,220.993,0.502258,581.722,581.215,0.170391,1163.54,0.050321,0.00112018,0
460,231.039,0.502258,581.782,581.247,0.164809,1163.57,0.0612327,0.00117011,0
480,241.084,0.502258,581.847,581.303,0.155362,1163.62,0.0484032,0.00115955,0
500,251.129,0.502258,581.896,581.345,0.148063,1163.66,0.045829,0.00110781,0
520,261.174,0.502258,581.952,581.415,0.136039,1163.73,0.0664369,0.00120946,0
540,271.219,0.502258,582.018,581.485,0.124016,1163.81,0.063394,0.00115936,0
560,281.264,0.502258,582.106,581.49,0.123157,1163.81,0.0454488,0.00105572,0
580,291.31,0.502258,582.158,581.597,0.104693,1163.92,0.0481921,0.00116294,0
600,301.355,0.502258,582.187,581.69,0.0888053,1164.01,0.0484943,0.0011228,0
620,311.4,0.502258,582.2,581.678,0.0909523,1164,0.0663573,0.00113704,0
640,321.445,0.502258,582.207,581.683,0.0900935,1164,0.0550346,0.00110602,0
660,331.49,0.502258,582.242,581.707,0.0857995,1164.03,0.058228,0.00112176,0
680,341.535,0.502258,582.283,581.722,0.0832231,1164.04,0.0727354,0.00113601,0
700,351.58,0.502258,582.323,581.763,0.0763527,1164.08,0.0651925,0.00116293,0
720,361.626,0.502258,582.388,581.857,0.0600354,1164.18,0.0448368,0.00105369,0
740,371.671,0.502258,582.452,581.893,0.0540238,1164.21,0.0708389,0.00115598,0
760,381.716,0.502258,582.531,581.95,0.0441476,1164.27,0.0699308,0.00118328,0
780,391.761,0.502258,582.58,582.08,0.0218188,1164.4,0.0575132,0.00106625,0
800,401.806,0.502258,582.66,582.148,0.010225,1164.47,0.0546818,0.00115346,0
820,411.851,0.502258,582.731,582.168,0.00678978,1164.49,0.0642713,0.00113786,0
840,421.897,0.502258,582.816,582.255,-0.00823924,1164.58,0.0525329,0.00110494,0
860,431.942,0.502258,582.904,582.37,-0.0279917,1164.69,0.0529645,0.00110125,0
880,441.987,0.502258,582.979,582.403,-0.0335739,1164.72,0.051779,0.00111576,0
900,452.032,0.502258,583.042,582.508,-0.0516087,1164.83,0.0488802,0.00107413,0
920,462.077,0.502258,583.089,582.482,-0.0473147,1164.8,0.0542878,0.00112995,0
940,472.122,0.502258,583.131,582.587,-0.0653495,1164.91,0.0599491,0.00114591,0
960,482.167,0.502258,583.164,582.602,-0.0679259,1164.92,0.0758954,0.00114851,0
980,492.213,0.502258,583.202,582.675,-0.0803785,1164.99,0.0585495,0.00108108,0
1000,502.258,0.502258,583.264,582.74,-0.0915429,1161.11,0.046332,0.00104219,0
1020,512.303,0.502258,583.337,582.815,-0.104425,1122.92,0.0523115,0.00103469,0
1040,522.348,0.502258,583.431,582.85,-0.110437,1062.83,0.0554573,0.00110108,0
1060,532.393,0.502258,583.519,582.992,-0.134912,986.908,0.0730923,0.00114433,0
1080,542.438,0.502258,583.605,583.112,-0.155524,898.202,0.0562771,0.00112254,0
1100,552.484,0.502258,583.713,583.17,-0.1654,807.68,0.0506876,0.00113042,0
1120,562.529,0.502258,583.794,583.253,-0.17957,784.893,0.0581422,0.00111462,0
1140,572.574,0.502258,583.884,583.317,-0.190734,803.303,0.0641684,0.00115839,0
1160,582.619,0.502258,583.973,583.39,-0.203187,784.065,0.0476273,0.00107529,0
1180,592.664,0.502258,584.041,583.475,-0.217787,683.36,0.0642539,0.00110669,0
1200,602.709,0.502258,584.108,583.615,-0.241833,541.085,0.0439572,0.00103657,0
1220,612.755,0.502258,584.163,583.607,-0.240545,359.808,0.0495817,0.00112689,0
1240,622.8,0.502258,584.212,583.625,-0.243551,155.19,0.0472068,0.00113321,0
1251,628,0.177737,584.237,583.695,-0.255574,65.81,0.0438088,0.00109611,0
